time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-02-26T08:54:09.990Z,19.4325,-155.6183333,-0.856,2.6,ml,43,77,,0.11,hv,hv60860096,2020-07-06T20:46:28.360Z,"Island of Hawaii, Hawaii",earthquake,0.29,0.42,0.187,21,reviewed,hv,hv
2015-02-26T08:10:22.500Z,19.4235,-155.6123333,-1.306,2.87,ml,46,67,,0.16,hv,hv60860081,2020-07-06T20:46:28.170Z,"26 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.25,0.42,0.187,22,reviewed,hv,hv
2015-02-25T06:06:19.700Z,19.142334,-155.4515076,47.94,2.79,md,32,174,,0.35,hv,hv60859416,2022-07-27T23:05:45.979Z,"7 km SSE of P?hala, Hawaii",earthquake,1.07,1.52,0.1,7,reviewed,hv,hv
2015-02-19T13:25:33.020Z,19.3808333,-155.2811667,1.168,2.61,ml,47,46,,0.11,hv,hv60855071,2020-07-06T20:47:20.810Z,"Island of Hawaii, Hawaii",earthquake,0.15,0.17,0.174,22,reviewed,hv,hv
2015-02-17T13:17:42.730Z,19.686,-156.4811667,11.258,3.92,ml,22,284,,0.15,hv,hv60853801,2020-07-06T20:46:37.740Z,"50 km W of Kailua-Kona, Hawaii",earthquake,3.35,4.99,0.202,41,reviewed,hv,hv
2015-02-17T02:37:15.540Z,19.5183333,-155.9818333,11.679,2.53,ml,21,242,,0.13,hv,hv60853431,2022-07-27T21:35:15.129Z,"6 km WSW of Honalo, Hawaii",earthquake,0.93,0.46,0.183,28,reviewed,hv,hv
2015-02-16T23:40:56.190Z,20.0051667,-155.3891667,8.273,3.28,ml,12,202,,0.19,hv,hv60853251,2020-07-06T20:46:37.930Z,"4 km SSW of Pa‘auilo, Hawaii",earthquake,0.86,0.87,0.133,32,reviewed,hv,hv
2015-02-16T22:49:44.040Z,20.0101667,-155.378,6.863,3.2,ml,12,204,,0.16,hv,hv60853201,2022-07-27T21:31:20.765Z,"3 km SSW of Pa‘auilo, Hawaii",earthquake,0.77,1.01,0.153,33,reviewed,hv,hv
2015-02-16T05:00:34.290Z,19.3508333,-155.0808333,7.012,2.67,ml,47,161,,0.11,hv,hv60852696,2020-07-06T20:46:38.480Z,"13 km SSE of Fern Forest, Hawaii",earthquake,0.39,0.47,0.117,24,reviewed,hv,hv
2015-02-15T11:50:31.610Z,19.1223335,-155.4783325,31.44,2.55,md,24,176,,0.26,hv,hv60852286,2020-08-26T21:08:11.920Z,"8 km S of P?hala, Hawaii",other event,1.02,1.91,0.39,8,reviewed,hv,hv
2015-02-15T11:47:51.810Z,19.0809994,-155.4098358,40.27,2.51,md,32,196,,0.19,hv,hv60852276,2020-08-26T21:08:11.770Z,"15 km SSE of P?hala, Hawaii",other event,1.13,1.52,0.22,18,reviewed,hv,hv
2015-02-15T03:15:34.780Z,19.3893333,-155.2766667,1.418,2.5,ml,36,43,,0.1,hv,hv60851921,2021-02-18T22:19:57.489Z,"7 km SW of Volcano, Hawaii",earthquake,0.17,0.15,0.227,19,reviewed,hv,hv
2015-02-14T23:04:05.540Z,19.3508333,-155.9163333,17.757,2.63,ml,18,208,,0.13,hv,hv60851866,2022-07-27T21:08:13.053Z,"12 km SSW of Honaunau-Napoopoo, Hawaii",earthquake,0.67,1.8,0.172,13,reviewed,hv,hv
2015-02-13T12:33:10.810Z,19.3835,-155.2771667,1.218,2.56,ml,47,45,,0.1,hv,hv60850751,2022-07-27T20:50:45.511Z,"7 km SW of Volcano, Hawaii",earthquake,0.14,0.16,0.205,21,reviewed,hv,hv
2015-02-12T05:46:34.630Z,19.1725,-155.4563333,8.003,2.99,ml,47,129,,0.19,hv,hv60849791,2022-07-27T20:34:57.683Z,"4 km SE of P?hala, Hawaii",earthquake,0.55,0.85,0.159,33,reviewed,hv,hv
2015-02-12T05:46:34.060Z,19.1641667,-155.4948333,12.397,2.93,ml,29,299,,0.18,hv,hv60849796,2020-08-26T21:08:11.170Z,"4 km SSW of P?hala, Hawaii",earthquake,1,0.48,0.146,24,reviewed,hv,hv
2015-02-09T18:16:15.590Z,19.3716667,-155.3418333,12.419,4.25,ml,58,46,,0.1,hv,hv60848586,2022-07-27T20:04:59.502Z,"13 km SW of Volcano, Hawaii",earthquake,0.24,0.17,0.17,36,reviewed,hv,hv
2015-02-08T22:57:33.510Z,19.4436667,-155.9166667,10.557,2.94,ml,23,195,,0.13,hv,hv60848346,2022-07-27T19:47:46.220Z,"5 km WSW of Honaunau-Napoopoo, Hawaii",earthquake,0.61,0.33,0.213,31,reviewed,hv,hv
