time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-03-10T21:32:12.670Z,4.738,96.007,33,5.5,mwc,,,,1.33,us,usp0009php,2022-04-29T18:34:37.150Z,"61 km SSW of Reuleuet, Indonesia",earthquake,,,,,reviewed,us,hrv
2000-03-10T16:22:47.180Z,-8.701,106.379,33,5.5,mwb,,,,1.17,us,usp0009phb,2016-11-09T22:02:45.540Z,"190 km S of Pelabuhanratu, Indonesia",earthquake,,,,,reviewed,us,us
2000-03-07T18:49:17.590Z,3.605,96.101,76.7,4.8,mb,,,,1.08,us,usp0009pdc,2014-11-07T01:09:39.978Z,"59 km S of Meulaboh, Indonesia",earthquake,,12.1,,18,reviewed,us,us
2000-03-04T18:13:21.490Z,3.905,96.431,33,3.8,mb,,,,1.37,us,usp0009p8z,2014-11-07T01:09:39.032Z,"42 km SE of Meulaboh, Indonesia",earthquake,,,,2,reviewed,us,us
2000-03-03T01:21:06.670Z,5.295,96.067,189,4.6,mb,,,,0.77,us,usp0009p6v,2014-11-07T01:09:37.954Z,"15 km SE of Sigli, Indonesia",earthquake,,27.2,,30,reviewed,us,us
2000-03-02T21:11:13.230Z,0.56,98.497,68.9,4.9,mb,,,,0.86,us,usp0009p6n,2014-11-07T01:09:37.921Z,"125 km SW of Padangsidempuan, Indonesia",earthquake,,18,,15,reviewed,us,us
2000-02-25T14:10:24.760Z,-6.208,105.194,51.6,4.9,mb,,,,0.68,us,usp0009ny9,2014-11-07T01:09:33.663Z,"72 km WNW of Labuan, Indonesia",earthquake,,18.4,,3,reviewed,us,us
2000-02-22T10:27:19.420Z,-6.73,102.033,33,5.1,mwc,,,,1.05,us,usp0009nu2,2016-11-09T21:56:04.984Z,"southwest of Sumatra, Indonesia",earthquake,,,,,reviewed,us,hrv
2000-02-21T02:57:20.350Z,-5.866,106.254,136.3,4.8,mb,,,,1.06,us,usp0009ns1,2014-11-07T01:09:32.227Z,"Java, Indonesia",earthquake,,15.8,,13,reviewed,us,us
2000-02-18T10:13:10.290Z,3.754,97.929,185.1,4.1,mb,,,,0.74,us,usp0009nmj,2014-11-07T01:09:31.491Z,"48 km SW of Pangkalan Brandan, Indonesia",earthquake,,26,,2,reviewed,us,us
2000-02-15T09:27:26.810Z,-7.246,106.741,83.8,4.2,mb,,,,0.95,us,usp0009ngc,2014-11-07T01:09:30.992Z,"35 km SE of Pelabuhanratu, Indonesia",earthquake,,19.3,,5,reviewed,us,us
2000-01-30T17:08:52.620Z,-7.833,103.746,33,4.5,mb,,,,1,us,usp0009mv0,2014-11-07T01:09:22.844Z,"280 km SW of Labuan, Indonesia",earthquake,,,,3,reviewed,us,us
2000-01-21T16:17:26.910Z,-1.227,98.877,33,5,mb,,,,0.94,us,usp0009mfk,2014-11-07T01:09:21.223Z,"153 km WSW of Pariaman, Indonesia",earthquake,,,,16,reviewed,us,us
2000-01-12T13:42:40.460Z,-7.476,104.065,33,4.5,mb,,,,0.78,us,usp0009m28,2014-11-07T01:09:19.224Z,"229 km WSW of Labuan, Indonesia",earthquake,,,,7,reviewed,us,us
2000-01-08T03:44:54.320Z,-6.746,105.646,61.7,5.6,mwc,,,,1,us,usp0009kw1,2022-04-29T19:37:47.353Z,"45 km SSW of Labuan, Indonesia",earthquake,,4.7,,,reviewed,us,hrv
2000-01-06T00:56:17.590Z,2.01,98.041,33,5.1,mwc,,,,1.01,us,usp0009kte,2022-04-29T18:28:13.823Z,"41 km SE of Singkil, Indonesia",earthquake,,,,,reviewed,us,hrv
1999-12-29T15:17:21.870Z,-0.446,99.634,79.7,5.3,mb,,,,1.11,us,usp0009ker,2014-11-07T01:09:12.296Z,"57 km WNW of Pariaman, Indonesia",earthquake,,18.9,,24,reviewed,us,us
1999-12-25T19:11:49.020Z,-7.061,105.353,33,4,mb,,,,1.04,us,usp0009k9v,2014-11-07T01:09:11.558Z,"92 km SW of Labuan, Indonesia",earthquake,,,,1,reviewed,us,us
1999-12-25T08:36:20.810Z,7.121,94.531,33,4.1,mb,,,,0.8,us,usp0009k94,2014-11-07T01:09:11.239Z,"161 km NNW of Sabang, Indonesia",earthquake,,,,1,reviewed,us,us
