time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-26T15:14:42.390Z,63.6357,-19.1589,10,4.5,mb,,102,1.465,0.74,us,us20008iqi,2017-04-19T18:31:00.040Z,"59 km ENE of Vestmannaeyjar, Iceland",earthquake,9.8,1.9,0.082,43,reviewed,us,us
2016-09-26T13:31:46.240Z,63.7045,-19.2327,10,4.1,mb,,191,1.39,0.93,us,us20007c5c,2016-12-14T03:17:51.040Z,"59 km ENE of Vestmannaeyjar, Iceland",earthquake,15,2,0.523,1,reviewed,us,us
2016-08-29T01:47:02.000Z,63.653,-19.089,3.8,4.5,mb,,,,1.01,us,us20006uxe,2016-11-29T01:28:45.040Z,"63 km ENE of Vestmannaeyjar, Iceland",earthquake,8.5,4.7,0.068,63,reviewed,rey,us
2016-04-08T00:10:51.370Z,64.6366,-17.771,7.3,4.6,mb,,105,1.532,0.77,us,us20005iej,2016-06-21T01:14:02.040Z,"117 km S of Akureyri, Iceland",earthquake,6.7,4.8,0.096,32,reviewed,us,us
2016-01-16T18:40:50.100Z,61.1177,-28.0921,15.15,4.3,mb,,221,4.775,1.14,us,us10004g2c,2016-04-06T17:30:22.040Z,"Iceland region",earthquake,12.4,7.9,0.267,4,reviewed,us,us
2016-01-16T09:29:23.970Z,61.1412,-28.1925,10,4,mb,,221,4.786,0.52,us,us10004g20,2016-04-06T17:30:22.040Z,"Iceland region",earthquake,11.7,1.8,0.298,3,reviewed,us,us
2016-01-16T05:51:45.570Z,61.0747,-28.1463,10,4.7,mb,,72,4.826,0.68,us,us10004f0t,2016-11-10T22:08:34.529Z,"Iceland region",earthquake,8,1.7,0.052,115,reviewed,us,us
2016-01-16T04:38:56.710Z,61.1714,-28.4027,10,4.2,mb,,192,4.826,0.49,us,us10004g2h,2016-04-06T17:30:22.040Z,"Iceland region",earthquake,14.7,2,0.236,5,reviewed,us,us
2016-01-16T04:37:32.810Z,61.0617,-27.8951,10,4.4,mb,,126,4.763,0.51,us,us10004f0k,2016-04-06T17:30:22.040Z,"Iceland region",earthquake,9.1,1.9,0.114,22,reviewed,us,us
2016-01-16T04:29:22.650Z,61.2548,-28.1438,10,4.4,mb,,214,4.682,0.77,us,us10004g21,2016-04-06T17:30:22.040Z,"Iceland region",earthquake,7.3,2,0.127,18,reviewed,us,us
2015-07-13T05:16:58.350Z,61.3532,-27.4511,12.33,4.5,mb,,120,4.4,0.63,us,us20002x1y,2015-10-09T20:19:15.040Z,"Iceland region",earthquake,8.6,3.2,0.043,161,reviewed,us,us
2015-07-01T05:00:05.320Z,63.7217,-23.2416,10,4.5,mb,,51,17.577,1.13,us,us20002xr8,2015-09-02T22:37:26.040Z,"41 km WSW of Grindavík, Iceland",earthquake,7.1,1.8,0.101,29,reviewed,us,us
2015-07-01T04:59:27.900Z,63.8622,-23.1378,10,4.5,mb,,59,1.188,0.62,us,us10002mqv,2015-09-02T22:37:26.040Z,"28 km SW of Sandgerði, Iceland",earthquake,5.4,1.9,0.078,48,reviewed,us,us
2015-07-01T02:25:42.560Z,63.8386,-23.0179,10,4.5,mb,,65,1.173,0.87,us,us10002mpu,2022-07-31T16:13:56.725Z,"26 km SW of Sandgerði, Iceland",earthquake,6.2,1.6,0.05,117,reviewed,us,us
2015-07-01T02:23:58.810Z,63.9994,-23.2388,10,4.4,mb,,143,1.12,0.95,us,us10002mq6,2015-09-02T22:37:26.040Z,"26 km W of Sandgerði, Iceland",earthquake,8,1.6,0.083,42,reviewed,us,us
2015-06-11T03:08:28.960Z,63.9175,-22.7669,10.48,4.5,mb,,70,1.042,1.27,us,us10002l5y,2015-08-20T00:43:53.040Z,"13 km SW of Reykjanesbær, Iceland",earthquake,8.5,3.6,0.312,3,reviewed,us,us
2015-02-19T01:26:12.040Z,64.4954,-17.6296,8.1,4.3,mb,,107,1.613,0.74,us,usc000tsqg,2015-05-12T20:29:32.040Z,"119 km WNW of Höfn, Iceland",earthquake,7.8,5.3,0.178,9,reviewed,us,us
2015-02-13T21:22:56.230Z,64.6857,-17.0423,5.85,4.6,mb,,106,6.117,0.78,us,usb000tp7m,2015-05-11T23:20:12.040Z,"100 km WNW of Höfn, Iceland",earthquake,9.6,4.3,0.065,79,reviewed,us,us
2015-02-10T03:18:56.660Z,64.5473,-17.6288,8.6,4.6,mb,,83,1.604,0.31,us,us10000a0b,2015-05-04T22:47:52.040Z,"121 km WNW of Höfn, Iceland",earthquake,5.9,3.4,0.087,43,reviewed,us,us
2015-02-06T03:48:11.940Z,64.6159,-17.7092,7.16,4.7,mb,,76,1.561,0.92,us,usc000tmm7,2015-05-04T22:47:42.040Z,"120 km S of Akureyri, Iceland",earthquake,7.3,3.8,0.052,140,reviewed,us,us
2015-02-05T03:13:13.530Z,64.5443,-17.7707,7.98,4.6,mb,,114,1.544,0.62,us,usb000tnk2,2015-05-04T22:47:40.040Z,"127 km WNW of Höfn, Iceland",earthquake,7.9,4.7,0.173,15,reviewed,us,us
2015-02-02T21:34:33.140Z,64.2238,-17.993,10,4.3,mb,,158,1.536,1.33,us,usc000tnqb,2015-05-02T14:05:52.040Z,"134 km W of Höfn, Iceland",earthquake,6.3,2,0.238,5,reviewed,us,us
2015-02-01T08:18:55.410Z,64.5182,-17.888,7.93,4.4,mb,,132,1.499,0.58,us,usc000tnd6,2015-05-02T14:05:51.040Z,"130 km S of Akureyri, Iceland",earthquake,7.1,5.2,0.143,15,reviewed,us,us
2015-01-30T18:16:02.360Z,64.571,-17.6757,8.26,4.1,mb,,143,1.581,0.84,us,usc000tmhf,2015-05-02T14:05:51.040Z,"123 km WNW of Höfn, Iceland",earthquake,7.3,4,0.214,6,reviewed,us,us
2015-01-29T21:45:20.160Z,64.3609,-17.7048,6.44,4.4,mb,,109,1.612,0.82,us,usc000tmga,2015-05-02T14:05:51.040Z,"121 km W of Höfn, Iceland",earthquake,9,1.6,0.083,48,reviewed,us,us
2015-01-29T21:22:16.780Z,64.6038,-17.56,7.19,4.3,mb,,108,1.626,1.02,us,usc000tk74,2015-05-02T14:05:51.040Z,"119 km WNW of Höfn, Iceland",earthquake,7.4,5.1,0.122,22,reviewed,us,us
2015-01-29T21:18:44.720Z,64.2117,-17.7979,8.19,4.5,mb,,141,1.62,0.86,us,usc000tmgm,2015-05-02T14:05:51.040Z,"125 km W of Höfn, Iceland",earthquake,11.5,5.1,0.181,10,reviewed,us,us
2015-01-26T19:24:40.110Z,64.4586,-17.959,10,4.4,mb,,149,1.48,0.92,us,usc000tlat,2015-04-24T16:56:09.040Z,"134 km W of Höfn, Iceland",earthquake,5.4,1.9,0.19,14,reviewed,us,us
2015-01-25T18:27:19.480Z,64.5044,-17.7484,8.12,4.4,mb,,162,1.56,1.4,us,usc000tiyh,2015-04-24T16:55:32.040Z,"125 km WNW of Höfn, Iceland",earthquake,7.4,5.5,0.154,14,reviewed,us,us
2015-01-24T07:25:47.000Z,64.67,-17.46,1.1,4.6,mb,,,,0.92,us,usc000tish,2015-04-24T16:55:18.040Z,"116 km SSE of Akureyri, Iceland",earthquake,7.1,4.7,0.082,55,reviewed,rey,us
2015-01-23T18:07:05.510Z,64.6122,-17.6509,12.04,4.4,mb,,125,1.586,0.94,us,usc000tkyg,2015-04-24T16:55:55.040Z,"121 km S of Akureyri, Iceland",earthquake,5.3,6.1,0.179,12,reviewed,us,us
2015-01-23T03:07:03.020Z,64.6538,-17.5206,6.63,4.6,mb,,94,1.638,0.67,us,usc000tihd,2015-04-24T16:55:08.040Z,"117 km SSE of Akureyri, Iceland",earthquake,6.9,3.4,0.076,68,reviewed,us,us
2015-01-22T00:03:39.120Z,64.5352,-17.6449,7.46,4.4,mb,,114,1.599,0.61,us,usc000tkd5,2015-04-24T16:55:48.040Z,"121 km WNW of Höfn, Iceland",earthquake,8.2,4.6,0.095,33,reviewed,us,us
2015-01-21T19:21:16.650Z,64.5034,-17.7247,8.12,4.5,mb,,146,1.571,1.25,us,usc000thwb,2015-04-20T16:05:39.040Z,"124 km WNW of Höfn, Iceland",earthquake,5.2,5,0.103,33,reviewed,us,us
2015-01-20T15:44:46.200Z,64.4309,-17.9079,7.96,4.3,mb,,114,1.508,1.27,us,usc000thh5,2015-04-20T16:05:37.040Z,"131 km W of Höfn, Iceland",earthquake,7.2,4.8,0.113,22,reviewed,us,us
2015-01-20T11:57:57.080Z,64.4182,-17.7489,7.89,4.3,mb,,149,1.578,0.63,us,usc000tk3p,2015-04-20T16:05:37.040Z,"123 km W of Höfn, Iceland",earthquake,11.1,4.6,0.239,5,reviewed,us,us
2015-01-20T11:22:58.190Z,64.4304,-17.9078,10,4.3,mb,,149,1.509,1.34,us,usc000thg3,2015-04-20T16:05:37.040Z,"131 km W of Höfn, Iceland",earthquake,8.7,1.9,0.109,24,reviewed,us,us
2015-01-20T10:32:27.120Z,64.5031,-17.4205,12.54,4.7,mb,,62,1.7,1.02,us,usc000they,2015-04-20T16:05:37.040Z,"110 km WNW of Höfn, Iceland",earthquake,7.7,3.9,0.045,173,reviewed,us,us
2015-01-20T09:45:58.240Z,64.4333,-17.5287,7.44,4.3,mb,,149,1.668,0.94,us,usc000tk3l,2015-04-20T16:05:36.040Z,"113 km W of Höfn, Iceland",earthquake,6.1,5.5,0.153,13,reviewed,us,us
2015-01-18T22:27:52.500Z,64.5082,-17.75,8.96,4.7,mb,,123,1.559,0.46,us,usc000th0t,2015-04-20T16:05:34.040Z,"125 km WNW of Höfn, Iceland",earthquake,7.8,4.5,0.07,68,reviewed,us,us
2015-01-18T07:35:52.290Z,64.7117,-17.2895,7.35,4.7,mb,,69,6.063,0.72,us,usc000tgx3,2015-04-20T16:05:33.040Z,"112 km WNW of Höfn, Iceland",earthquake,8.4,4.5,0.053,129,reviewed,us,us
2015-01-16T17:38:22.080Z,64.6132,-17.3089,8.36,4.7,mb,,96,1.732,0.76,us,usc000tghi,2015-04-20T15:34:52.040Z,"108 km WNW of Höfn, Iceland",earthquake,7.6,3.9,0.059,97,reviewed,us,us
2015-01-15T08:57:17.350Z,64.5193,-17.5978,7.2,4.3,mb,,162,1.622,0.99,us,usc000tj3z,2015-04-20T15:34:43.040Z,"118 km WNW of Höfn, Iceland",earthquake,10.3,4.7,0.177,9,reviewed,us,us
2015-01-15T07:12:00.850Z,64.6046,-17.4151,7.14,4.4,mb,,158,1.688,0.66,us,usc000tj4g,2015-04-20T15:34:42.040Z,"113 km WNW of Höfn, Iceland",earthquake,10.2,4,0.17,12,reviewed,us,us
2015-01-15T07:10:27.000Z,64.61,-17.38,1.1,4.5,mb,,,,1.18,us,usc000tfye,2015-04-20T15:34:42.040Z,"111 km WNW of Höfn, Iceland",earthquake,5.6,5,0.115,22,reviewed,rey,us
2015-01-13T17:52:00.700Z,64.6792,-17.271,8.95,4.7,mb,,100,1.743,1.4,us,usc000tfag,2015-04-10T18:56:32.040Z,"109 km WNW of Höfn, Iceland",earthquake,7.6,4.7,0.126,21,reviewed,us,us
2015-01-13T15:00:46.580Z,64.4444,-17.9127,10,4.4,mb,,106,1.503,1.46,us,usc000tf7c,2015-04-10T18:56:32.040Z,"132 km W of Höfn, Iceland",earthquake,8.2,1.9,0.126,21,reviewed,us,us
2015-01-12T18:30:26.500Z,64.59,-17.8055,8.91,4.5,mb,,111,1.522,1.01,us,usc000teve,2015-04-10T18:56:30.040Z,"122 km S of Akureyri, Iceland",earthquake,10.2,5,0.116,27,reviewed,us,us
2015-01-12T00:22:44.120Z,64.4533,-17.8284,8.19,4.5,mb,,91,1.537,1.28,us,usc000teqf,2015-04-10T18:56:29.040Z,"128 km W of Höfn, Iceland",earthquake,7.4,4.9,0.098,32,reviewed,us,us
2015-01-12T00:18:04.690Z,64.4568,-17.5386,6.95,4.7,mb,,109,1.659,1.21,us,usc000tilg,2015-04-10T18:56:37.040Z,"114 km W of Höfn, Iceland",earthquake,8.4,4.5,0.108,27,reviewed,us,us
2015-01-11T05:27:37.220Z,64.7278,-17.3729,6.99,4.5,mb,,145,1.696,0.59,us,usc000tem8,2015-04-10T18:56:29.040Z,"110 km S of Laugar, Iceland",earthquake,11.1,5.2,0.083,57,reviewed,us,us
2015-01-10T18:23:41.150Z,64.5642,-17.4362,8.14,4.7,mb,,99,1.684,0.58,us,usc000teix,2015-04-10T18:56:29.040Z,"112 km WNW of Höfn, Iceland",earthquake,7,3.6,0.064,86,reviewed,us,us
2015-01-10T16:12:59.000Z,64.3318,-17.6445,10,4.3,mb,,150,1.645,1.33,us,usc000ti9a,2015-04-10T18:56:35.040Z,"118 km W of Höfn, Iceland",earthquake,5.2,2,0.187,8,reviewed,us,us
2015-01-08T18:47:12.930Z,64.5611,-17.773,9.46,5.1,mb,,61,1.54,0.71,us,usc000tdak,2021-08-05T05:16:31.549Z,"126 km S of Akureyri, Iceland",earthquake,4.2,4.2,0.053,130,reviewed,us,us
2015-01-08T15:43:09.570Z,64.6034,-17.4501,10.28,4.6,mb,,119,1.673,1.11,us,usc000td5s,2015-04-10T18:56:26.040Z,"114 km WNW of Höfn, Iceland",earthquake,7.5,4.6,0.085,50,reviewed,us,us
2015-01-07T11:10:30.110Z,64.7119,-17.5784,8.71,4.6,mb,,92,1.609,0.66,us,usc000thfb,2015-03-27T07:02:28.040Z,"110 km SSE of Akureyri, Iceland",earthquake,6.1,5.2,0.152,14,reviewed,us,us
2015-01-06T13:36:22.440Z,64.4833,-17.8341,8.34,4.4,mb,,88,1.528,1.07,us,usc000th6r,2015-03-27T07:02:15.040Z,"129 km W of Höfn, Iceland",earthquake,7,5.1,0.117,21,reviewed,us,us
2015-01-05T21:53:20.810Z,64.637,-17.7023,7.07,5,mb,,60,1.561,1.14,us,usc000tbz0,2022-05-03T17:09:09.896Z,"118 km S of Akureyri, Iceland",earthquake,7.8,4.3,0.05,138,reviewed,us,us
2015-01-04T23:29:31.090Z,64.5932,-17.795,7.94,4.5,mb,,101,1.527,1.47,us,usc000tgge,2015-03-27T07:01:49.040Z,"122 km S of Akureyri, Iceland",earthquake,8.9,2.8,0.14,15,reviewed,us,us
2015-01-04T07:49:42.270Z,64.5993,-17.6711,6.29,4.5,mb,,84,1.579,0.89,us,usc000tbka,2015-03-27T07:01:41.040Z,"122 km S of Akureyri, Iceland",earthquake,5.2,4.5,0.097,32,reviewed,us,us
2015-01-04T00:36:49.890Z,64.6207,-17.7074,5.21,4.2,mb,,120,1.561,0.73,us,usc000tgfl,2015-03-27T07:01:34.040Z,"119 km S of Akureyri, Iceland",earthquake,7.6,4.9,0.175,9,reviewed,us,us
2015-01-03T12:01:13.660Z,64.6488,-17.7668,7.07,4.3,mb,,140,1.532,1.27,us,usc000tbee,2015-03-27T07:01:25.040Z,"116 km S of Akureyri, Iceland",earthquake,6.5,5.5,0.13,17,reviewed,us,us
2015-01-03T04:46:56.840Z,64.539,-17.9831,7.53,4.3,mb,,74,1.454,1.28,us,usc000tge0,2015-03-27T07:01:22.040Z,"127 km S of Akureyri, Iceland",earthquake,7.7,0.9,0.133,25,reviewed,us,us
2015-01-03T00:32:30.350Z,64.4571,-17.5692,7.35,4.6,mb,,61,1.646,0.94,us,usc000tbd1,2015-03-27T07:01:20.040Z,"116 km W of Höfn, Iceland",earthquake,7.4,4.4,0.063,81,reviewed,us,us
2015-01-03T00:29:12.730Z,64.4415,-17.795,10.52,4.4,mb,,75,1.554,1.28,us,usc000tgdw,2015-03-27T07:01:20.040Z,"126 km W of Höfn, Iceland",earthquake,8,4.5,0.079,49,reviewed,us,us
2015-01-02T17:39:09.740Z,64.6123,-17.8717,9.84,4.5,mb,,119,1.491,0.81,us,usc000tbab,2015-03-27T07:01:16.040Z,"119 km S of Akureyri, Iceland",earthquake,5.6,5,0.111,27,reviewed,us,us
2015-01-01T14:43:16.810Z,64.5448,-17.5205,7.76,4.4,mb,,117,1.651,1.48,us,usc000tg5c,2015-03-27T07:01:00.040Z,"115 km WNW of Höfn, Iceland",earthquake,10.6,5.6,0.179,9,reviewed,us,us
2015-01-01T12:30:12.710Z,64.5274,-17.7008,10,4.2,mb,,124,1.577,1.07,us,usc000tg5f,2015-03-27T07:00:59.040Z,"123 km WNW of Höfn, Iceland",earthquake,6.7,1.9,0.187,8,reviewed,us,us
2015-01-01T00:36:10.240Z,64.6073,-17.6866,5.71,4.3,mb,,121,1.571,0.76,us,usc000tg4x,2015-03-27T07:00:53.040Z,"121 km S of Akureyri, Iceland",earthquake,8.4,5.2,0.201,7,reviewed,us,us
2014-12-31T14:40:40.400Z,64.73,-17.0797,8.84,4.4,mb,,114,6.069,0.89,us,usc000taye,2015-03-17T02:38:26.040Z,"104 km WNW of Höfn, Iceland",earthquake,11.8,5.2,0.107,27,reviewed,us,us
2014-12-30T20:54:16.340Z,64.4784,-17.6649,7.91,4.6,mb,,101,1.601,0.94,us,usc000tauc,2015-03-17T02:38:14.040Z,"121 km W of Höfn, Iceland",earthquake,7,4.1,0.119,22,reviewed,us,us
2014-12-30T00:11:14.010Z,64.628,-17.7035,8.9,5,mb,,45,1.562,0.79,us,usc000taqf,2015-03-17T02:38:01.040Z,"119 km S of Akureyri, Iceland",earthquake,7.3,3.8,0.037,253,reviewed,us,us
2014-12-29T14:32:28.130Z,64.5559,-17.8226,7.79,4.4,mb,,105,1.52,0.71,us,usc000tajn,2015-03-17T02:37:56.040Z,"126 km S of Akureyri, Iceland",earthquake,7.6,2.8,0.092,36,reviewed,us,us
2014-12-29T00:56:01.990Z,67.296,-18.8387,10,4.5,mb,,62,2.754,0.91,us,usc000tf87,2015-03-17T02:37:48.040Z,"127 km N of Siglufjörður, Iceland",earthquake,6,1.9,0.15,13,reviewed,us,us
2014-12-28T23:18:50.280Z,67.3032,-18.7351,10,4.5,mb,,30,2.776,1.47,us,usc000tagr,2015-03-17T02:37:48.040Z,"128 km N of Siglufjörður, Iceland",earthquake,7.2,1.9,0.05,126,reviewed,us,us
2014-12-28T22:43:35.600Z,67.0719,-18.9924,10,4.2,mb,,87,2.523,0.19,us,usc000tg2z,2015-03-17T02:37:47.040Z,"102 km N of Siglufjörður, Iceland",earthquake,8.3,2,0.526,1,reviewed,us,us
2014-12-28T07:24:01.070Z,64.5981,-17.8775,7.05,4.4,mb,,122,1.491,1.07,us,usc000tg2h,2015-03-17T02:37:38.040Z,"121 km S of Akureyri, Iceland",earthquake,7.1,5.3,0.149,13,reviewed,us,us
2014-12-27T14:49:37.200Z,64.5541,-17.534,8.99,4.5,mb,,110,1.644,1.4,us,usc000ta8f,2015-03-17T02:37:29.040Z,"116 km WNW of Höfn, Iceland",earthquake,7.9,3.4,0.116,25,reviewed,us,us
2014-12-27T05:37:20.370Z,64.443,-17.9235,9.14,4.4,mb,,105,1.499,0.81,us,usc000tett,2015-03-17T02:37:25.040Z,"132 km W of Höfn, Iceland",earthquake,8.5,3.1,0.189,9,reviewed,us,us
2014-12-25T22:53:26.840Z,64.5553,-17.2888,7.17,5,mb,,60,1.748,0.76,us,usc000ta03,2022-05-03T17:08:51.011Z,"105 km WNW of Höfn, Iceland",earthquake,7.2,3.9,0.03,388,reviewed,us,us
2014-12-25T11:02:08.600Z,64.5328,-17.7517,9.14,4.3,mb,,124,1.554,1.12,us,usc000t9yh,2015-03-17T02:37:06.040Z,"126 km WNW of Höfn, Iceland",earthquake,6.8,4.5,0.201,7,reviewed,us,us
2014-12-25T02:41:29.770Z,64.5925,-17.7572,7.08,4.6,mb,,119,1.543,0.68,us,usc000t9xi,2015-03-17T02:37:04.040Z,"122 km S of Akureyri, Iceland",earthquake,7.8,5,0.107,28,reviewed,us,us
2014-12-24T18:55:26.720Z,64.5975,-17.5547,7.55,4.4,mb,,121,1.629,0.81,us,usc000td93,2015-03-17T02:37:00.040Z,"119 km WNW of Höfn, Iceland",earthquake,6.8,4.5,0.109,24,reviewed,us,us
2014-12-24T02:06:32.780Z,64.5946,-18.0605,10,4.3,mb,,122,1.413,0.78,us,usc000td86,2015-03-17T02:36:50.040Z,"121 km S of Akureyri, Iceland",earthquake,6.1,1.9,0.177,9,reviewed,us,us
2014-12-23T22:23:48.060Z,64.6315,-17.505,6.65,4.5,mb,,113,1.646,0.69,us,usc000t9k0,2015-03-06T02:59:13.040Z,"118 km WNW of Höfn, Iceland",earthquake,3,4.7,0.085,40,reviewed,us,us
