time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-03-10T04:00:18.460Z,50.822,157.105,55,5,mb,,,,0.81,us,usp0009pgt,2014-11-07T01:09:40.486Z,"70 km ENE of Severo-Kuril’sk, Russia",earthquake,,,,79,reviewed,us,us
2000-03-08T13:15:20.330Z,55.84,165.023,33,3.5,mb,,,,1.11,us,usp0009ped,2014-11-07T01:09:40.078Z,"164 km ESE of Ust’-Kamchatsk Staryy, Russia",earthquake,,,,2,reviewed,us,us
2000-03-08T09:19:13.750Z,55.803,163.709,33,4,mb,,,,1.18,us,usp0009pe5,2014-11-07T01:09:40.051Z,"90 km ESE of Ust’-Kamchatsk Staryy, Russia",earthquake,,,,3,reviewed,us,us
2000-03-06T00:32:53.140Z,52.672,158.018,150,4.3,mb,,,,0.97,us,usp0009pb7,2014-11-07T01:09:39.635Z,"36 km SSW of Paratunka, Russia",earthquake,,,,3,reviewed,us,us
2000-03-05T04:40:57.090Z,51.325,178.776,41.1,4.2,mb,,,,1.28,us,usp0009p9p,2014-11-07T01:09:39.196Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,,,7,reviewed,us,us
2000-03-03T12:04:54.300Z,51.139,157.959,63.4,3.2,mb,,,,1.1,us,usp0009p77,2014-11-07T01:09:38.122Z,"109 km ESE of Ozernovskiy, Russia",earthquake,,10.5,,1,reviewed,us,us
2000-03-01T09:28:27.310Z,49.615,156.054,86.2,4,mb,,,,1.29,us,usp0009p50,2014-11-07T01:09:37.046Z,"118 km S of Severo-Kuril’sk, Russia",earthquake,,14.3,,2,reviewed,us,us
2000-02-28T11:08:14.060Z,53.973,163.803,33,3.6,mb,,,,0.46,us,usp0009p2b,2014-11-07T01:09:34.551Z,"264 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,,,,2,reviewed,us,us
2000-02-28T07:53:57.040Z,53.105,171.021,33,4.2,mb,,,,1,us,usp0009p24,2014-11-07T01:09:34.521Z,"148 km W of Attu Station, Alaska",earthquake,,,,9,reviewed,us,us
2000-02-27T16:34:00.060Z,54.979,165.478,33,3.1,mb,,,,1.06,us,usp0009p1b,2014-11-07T01:09:34.205Z,"234 km SE of Ust’-Kamchatsk Staryy, Russia",earthquake,,,,1,reviewed,us,us
2000-02-26T01:21:54.060Z,54.897,161.019,100.1,4.3,mb,,,,0.91,us,usp0009nz3,2014-11-07T01:09:33.819Z,"117 km SE of Atlasovo, Russia",earthquake,,7.9,,8,reviewed,us,us
2000-02-24T13:32:26.280Z,51.459,-178.379,50.2,5.1,mwc,,,,0.86,us,usp0009nwp,2022-04-29T18:33:19.956Z,"129 km WSW of Adak, Alaska",earthquake,,5.5,,,reviewed,us,hrv
2000-02-22T03:54:14.450Z,51.813,175.126,33,4.1,mb,,,,0.84,us,usp0009ntw,2014-11-07T01:09:32.836Z,"175 km SE of Attu Station, Alaska",earthquake,,,,4,reviewed,us,us
2000-02-21T05:23:06.220Z,51.527,-179.377,33,4.3,mb,,,,0.87,us,usp0009ns8,2020-02-20T20:06:44.346Z,"193 km WSW of Adak, Alaska",earthquake,,,,13,reviewed,us,us
2000-02-21T04:24:48.771Z,51.405,-177.047,19.2,2.8,ml,,,,0.19,ak,ak0002e2h11p,2020-02-20T20:06:44.657Z,"59 km SSW of Adak, Alaska",earthquake,,1.6,,,reviewed,ak,ak
2000-02-19T19:31:37.360Z,49.656,155.859,48.2,5.4,mwc,,,,0.77,us,usp0009npp,2016-11-09T21:54:43.473Z,"114 km S of Severo-Kuril’sk, Russia",earthquake,,,,,reviewed,us,hrv
2000-02-19T19:10:44.690Z,50.587,154.339,187.5,4.1,mb,,,,1.02,us,usp0009npm,2014-11-07T01:09:31.735Z,"126 km W of Severo-Kuril’sk, Russia",earthquake,,9.7,,2,reviewed,us,us
2000-02-19T18:53:24.450Z,50.28,156.929,40.3,4.9,mb,,,,1.07,us,usp0009npg,2014-11-07T01:09:31.709Z,"71 km SE of Severo-Kuril’sk, Russia",earthquake,,,,31,reviewed,us,us
2000-02-19T08:09:04.460Z,51.489,-179.405,33,4.4,mb,,,,0,us,usp0009nny,2020-02-20T20:06:44.962Z,"196 km WSW of Adak, Alaska",earthquake,,,,14,reviewed,us,us
2000-02-18T16:42:32.810Z,50.285,155.124,138.7,3.9,mb,,,,0.96,us,usp0009nn2,2014-11-07T01:09:31.532Z,"83 km WSW of Severo-Kuril’sk, Russia",earthquake,,7.4,,1,reviewed,us,us
2000-02-18T14:23:49.470Z,51.452,157.57,111.5,3.3,mb,,,,1.17,us,usp0009nmv,2014-11-07T01:09:31.514Z,"near the east coast of the Kamchatka Peninsula, Russia",earthquake,,8.3,,1,reviewed,us,us
2000-02-14T23:07:39.930Z,52.912,159.491,73.5,3.4,mb,,,,1.22,us,usp0009nfy,2014-11-07T01:09:30.910Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,,6.2,,1,reviewed,us,us
2000-02-14T23:01:54.370Z,56.124,164.353,33,3.2,mb,,,,1.41,us,usp0009nfx,2014-11-07T01:09:30.909Z,"117 km E of Ust’-Kamchatsk Staryy, Russia",earthquake,,,,1,reviewed,us,us
2000-02-14T13:45:23.180Z,55.549,162.311,33,4.8,mb,,,,1.21,us,usp0009nfa,2014-11-07T01:09:30.847Z,"76 km S of Ust’-Kamchatsk Staryy, Russia",earthquake,,,,36,reviewed,us,us
2000-02-13T20:05:54.240Z,52.87,159.495,47.6,3.4,mb,,,,0.79,us,usp0009ne7,2014-11-07T01:09:30.739Z,"59 km ESE of Petropavlovsk-Kamchatsky, Russia",earthquake,,6.4,,3,reviewed,us,us
2000-02-12T23:49:34.830Z,53.233,156.71,265,4.2,mb,,,,0.93,us,usp0009nd3,2014-11-07T01:09:30.560Z,"107 km WNW of Paratunka, Russia",earthquake,,4.5,,17,reviewed,us,us
2000-02-12T11:05:46.810Z,51.355,-178.85,53.2,4.6,mb,,,,1.07,us,usp0009ncf,2020-02-20T20:06:46.237Z,"163 km WSW of Adak, Alaska",earthquake,,,,22,reviewed,us,us
2000-02-11T02:43:00.580Z,52.421,174.027,54.3,4.2,mb,,,,0.95,us,usp0009nas,2014-11-07T01:09:30.147Z,"74 km SE of Attu Station, Alaska",earthquake,,9.3,,3,reviewed,us,us
2000-02-10T16:56:58.130Z,50.898,-179.338,33,3.9,mb,,,,1,us,usp0009nab,2020-02-20T20:06:46.856Z,"217 km WSW of Adak, Alaska",earthquake,,,,3,reviewed,us,us
