time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1995-03-08T04:49:48.170Z,8.783,-82.427,10,4.2,md,,,,0.8,us,usp0006txf,2014-11-07T00:57:29.161Z,"1 km NNE of Bajo Boquete, Panama",earthquake,,,,,reviewed,us,upa
1995-03-06T18:44:01.200Z,15.571,-91.995,173.8,4.8,mb,,,,1.1,us,usp0006tw6,2014-11-07T00:57:28.793Z,"5 km ESE of El Pacayal, Mexico",earthquake,,,,33,reviewed,us,us
1995-03-06T15:11:36.460Z,11.562,-85.466,200,3.7,mb,,,,1.2,us,usp0006tw2,2014-11-07T00:57:28.734Z,"12 km E of Altagracia, Nicaragua",earthquake,,,,7,reviewed,us,us
1995-03-04T17:18:40.830Z,12.087,-87.422,150,3.8,mb,,,,0.7,us,usp0006tta,2014-11-07T00:57:28.110Z,"51 km SSW of Corinto, Nicaragua",earthquake,,,,7,reviewed,us,us
1995-03-03T11:29:52.350Z,33.164,-115.651,4.998,2.56,mc,0,47.4,0.08408,0.269,ci,ci3205362,2016-02-12T12:49:39.189Z,"13km WNW of Calipatria, California",earthquake,,0.207,,67,reviewed,ci,ci
1995-03-02T20:50:04.420Z,32.866,-118.413,5.822,3.4,ml,0,196,,0.331,ci,ci3205294,2016-02-12T18:08:51.965Z,"8km NW of San Clemente Is. (SE tip), California",earthquake,,,,70,reviewed,ci,ci
1995-03-01T16:36:12.840Z,11.496,-86.218,33,4,mb,,,,1.5,us,usp0006tpq,2014-11-07T00:57:25.940Z,"26 km S of La Conquista, Nicaragua",earthquake,,,,5,reviewed,us,us
1995-03-01T12:52:20.170Z,15.563,-93.923,33,4.3,mb,,,,1.1,us,usp0006tpc,2014-11-07T00:57:25.747Z,"43 km SSW of Doctor Belisario Domínguez (La Barra), Mexico",earthquake,,,,20,reviewed,us,us
1995-02-28T21:12:09.360Z,6.976,-81.86,20.7,6,mw,,,,0.9,us,usp0006tnj,2022-04-29T16:37:25.018Z,"south of Panama",earthquake,,,,,reviewed,us,hrv
1995-02-28T14:42:33.400Z,32.011,-115.416,5.62,2.55,mc,0,264.1,0.6886,0.118,ci,ci3205002,2016-02-11T19:13:27.881Z,"33km SW of Alberto Oviedo Mota, B.C., MX",earthquake,,,,8,reviewed,ci,ci
