time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-02-27T22:00:00.440Z,9.625,-77.819,33,3.7,mb,,,,0.8,us,usp0009p1k,2014-11-07T01:09:34.249Z,"49 km NNE of Ailigandí, Panama",earthquake,,,,3,reviewed,us,us
2000-02-26T18:24:39.220Z,9.406,-78.532,65,6.1,mwc,,,,1.08,us,usp0009p0a,2022-04-29T18:33:51.159Z,"7 km SE of Narganá, Panama",earthquake,,,,,reviewed,us,hrv
2000-02-25T05:13:07.160Z,7.19,-75.385,71.5,4.1,mb,,,,1.37,us,usp0009nxu,2014-11-07T01:09:33.592Z,"11 km S of Valdivia, Colombia",earthquake,,,,1,reviewed,us,us
2000-02-22T16:01:26.230Z,6.827,-72.981,171.3,3.6,mb,,,,0.62,us,usp0009nub,2014-11-07T01:09:32.914Z,"8 km N of Cepitá, Colombia",earthquake,,15.6,,1,reviewed,us,us
2000-02-20T12:24:33.930Z,6.84,-73.121,216.3,4.1,mb,,,,0.76,us,usp0009nqz,2014-11-07T01:09:31.913Z,"12 km NNW of Jordán, Colombia",earthquake,,6.8,,12,reviewed,us,us
2000-02-20T04:01:27.100Z,10.635,-71.369,10,3.9,mb,,,,1.38,us,usp0009nq8,2014-11-07T01:09:31.831Z,"18 km NE of Santa Rita, Venezuela",earthquake,,,,1,reviewed,us,us
2000-02-18T16:12:44.270Z,10.78,-71.078,33,4.5,mb,,,,0.91,us,usp0009nn1,2014-11-07T01:09:31.527Z,"54 km ENE of Santa Rita, Venezuela",earthquake,,,,18,reviewed,us,us
2000-02-17T15:03:58.690Z,6.441,-73.242,221.1,3.7,mb,,,,1.07,us,usp0009nk5,2014-11-07T01:09:31.322Z,"3 km SSE of Socorro, Colombia",earthquake,,8.2,,3,reviewed,us,us
2000-02-16T17:32:29.190Z,4.856,-77.213,33,4.2,mb,,,,0.63,us,usp0009nj5,2014-11-07T01:09:31.183Z,"20 km ESE of Pizarro, Colombia",earthquake,,,,3,reviewed,us,us
2000-02-14T22:50:42.700Z,9.26,-81.61,8.2,4.1,md,,,,,us,usp0009nfw,2014-11-07T01:09:30.907Z,"28 km ENE of Tobobe, Panama",earthquake,,,,,reviewed,upa,upa
2000-02-10T14:44:24.880Z,7.378,-78.186,33,4.3,mb,,,,0.67,us,usp0009na6,2014-11-07T01:09:29.673Z,"15 km S of Jaqué, Panama",earthquake,,,,9,reviewed,us,us
2000-02-08T14:24:23.160Z,6.539,-72.225,121.5,3.8,mb,,,,1.21,us,usp0009n78,2014-11-07T01:09:28.875Z,"22 km ENE of Güicán, Colombia",earthquake,,12.3,,4,reviewed,us,us
2000-02-07T06:06:40.900Z,8.769,-78.291,37.5,3.6,md,,,,,us,usp0009n5e,2014-11-07T01:09:28.293Z,"19 km NW of Santa Fé, Panama",earthquake,,,,,reviewed,upa,upa
2000-02-05T21:52:03.060Z,6.761,-72.927,159.6,4.8,mb,,,,0.86,us,usp0009n3d,2014-11-07T01:09:26.980Z,"5 km E of Cepitá, Colombia",earthquake,,,,78,reviewed,us,us
2000-02-02T23:40:20.020Z,2.082,-76.519,62,4.5,mb,,,,0.88,us,usp0009mz9,2014-11-07T01:09:25.882Z,"Colombia",earthquake,,9.9,,16,reviewed,us,us
2000-01-31T10:32:13.270Z,0.214,-80.132,33,4.8,mb,,,,0.89,us,usp0009mw2,2014-11-07T01:09:22.965Z,"18 km NNW of Pedernales, Ecuador",earthquake,,,,29,reviewed,us,us
2000-01-31T07:55:16.070Z,0.179,-80.141,33,4.4,mb,,,,0.75,us,usp0009mvt,2014-11-07T01:09:22.948Z,"15 km NW of Pedernales, Ecuador",earthquake,,,,12,reviewed,us,us
2000-01-28T09:08:47.180Z,7.653,-77.771,10,4.2,mb,,,,1.14,us,usp0009ms4,2014-11-07T01:09:22.366Z,"44 km SSE of Camogantí, Panama",earthquake,,,,5,reviewed,us,us
2000-01-28T08:49:30.870Z,7.457,-77.85,21.4,4.7,mb,,,,1.13,us,usp0009ms0,2014-11-07T01:09:22.351Z,"35 km E of Jaqué, Panama",earthquake,,4.2,,25,reviewed,us,us
2000-01-24T18:20:48.580Z,3.882,-74.819,33,3.1,ml,,,,0.94,us,usp0009mmb,2014-11-07T01:09:21.837Z,"12 km W of Tres Esquinas, Colombia",earthquake,,,,,reviewed,us,rsnc
2000-01-24T00:14:03.800Z,4.103,-75.7,33,2.7,ml,,,,1.44,us,usp0009mkk,2014-11-07T01:09:21.729Z,"15 km NW of Roncesvalles, Colombia",earthquake,,,,,reviewed,us,rsnc
2000-01-23T14:32:07.790Z,5.722,-79.621,33,4.4,mb,,,,1.27,us,usp0009mk6,2014-11-07T01:09:21.678Z,"195 km SSE of Cambutal, Panama",earthquake,,,,8,reviewed,us,us
2000-01-23T01:43:30.900Z,8.772,-77.877,79.5,4.2,mb,,,,1.04,us,usp0009mhx,2014-11-07T01:09:21.471Z,"13 km SE of Mortí, Panama",earthquake,,10.8,,1,reviewed,us,us
2000-01-20T07:56:52.970Z,3.292,-74.417,33,3.5,ml,,,,1.36,us,usp0009mdc,2014-11-07T01:09:20.944Z,"42 km WSW of Mesetas, Colombia",earthquake,,,,,reviewed,us,rsnc
2000-01-19T05:27:12.900Z,9.803,-79.155,6,3.7,md,,,,,us,usp0009mbs,2014-11-07T01:09:20.574Z,"29 km N of Santa Isabel, Panama",earthquake,,,,,reviewed,upa,upa
2000-01-17T12:20:05.250Z,6.785,-71.971,33,5.6,mwc,,,,0.85,us,usp0009m91,2022-04-29T18:28:33.763Z,"21 km W of Fortul, Colombia",earthquake,,,,,reviewed,us,hrv
2000-01-16T21:13:18.230Z,5.774,-76.102,33,3.5,mb,,,,0.83,us,usp0009m87,2014-11-07T01:09:20.028Z,"12 km SW of Ciudad Bolívar, Colombia",earthquake,,,,1,reviewed,us,us
2000-01-15T20:00:30.860Z,6.552,-73.024,197.5,4.1,mb,,,,0.9,us,usp0009m6a,2014-11-07T01:09:19.788Z,"7 km SE of Curití, Colombia",earthquake,,6.9,,11,reviewed,us,us
1999-12-31T21:09:12.500Z,9.159,-78.848,2,3.9,md,,,,,us,usp0009kjp,2014-11-07T01:09:12.969Z,"8 km SE of Cañita, Panama",earthquake,,,,,reviewed,upa,upa
1999-12-31T17:05:30.810Z,6.662,-72.994,181.9,3.8,mb,,,,0.94,us,usp0009kj9,2014-11-07T01:09:12.912Z,"4 km SE of Aratoca, Colombia",earthquake,,16.4,,2,reviewed,us,us
1999-12-30T16:59:24.270Z,9.953,-74.022,89.4,4.4,mb,,,,1.05,us,usp0009kgw,2014-11-07T01:09:12.733Z,"22 km SSW of El Copey, Colombia",earthquake,,,,8,reviewed,us,us
1999-12-30T09:30:05.060Z,3.405,-77.486,76,3.8,mb,,,,1.41,us,usp0009kgb,2014-11-07T01:09:12.572Z,"57 km WSW of Buenaventura, Colombia",earthquake,,35.3,,1,reviewed,us,us
1999-12-30T02:41:44.900Z,9.386,-79.048,56.2,3.9,mb,,,,1.02,us,usp0009kfw,2014-11-07T01:09:12.519Z,"13 km SW of Cartí Sugdup, Panama",earthquake,,,,1,reviewed,us,us
1999-12-29T04:53:54.000Z,7.666,-80.682,12.3,3.5,md,,,,,us,usp0009kdw,2014-11-07T01:09:12.158Z,"3 km NNW of Pitaloza Arriba, Panama",earthquake,,,,,reviewed,upa,upa
1999-12-21T14:48:51.700Z,7.568,-80.548,10,3.7,md,,,,,us,usp0009k3t,2014-11-07T01:09:10.594Z,"10 km S of Llano de Piedra, Panama",earthquake,,,,,reviewed,upa,upa
1999-12-13T16:07:04.110Z,4.519,-75.693,10,2.6,ml,,,,1.17,us,usp0009ju5,2014-11-07T01:09:09.367Z,"2 km SW of Armenia, Colombia",earthquake,,,,,reviewed,us,rsnc
1999-12-13T14:25:34.570Z,6.8,-72.91,165.4,3.9,mb,,,,0.91,us,usp0009ju2,2014-11-07T01:09:09.359Z,"6 km W of San Andrés, Colombia",earthquake,,4.8,,7,reviewed,us,us
1999-12-12T11:43:55.960Z,6.776,-73.022,167.1,4.4,mb,,,,0.86,us,usp0009jsk,2014-11-07T01:09:09.111Z,"5 km WNW of Cepitá, Colombia",earthquake,,4.3,,15,reviewed,us,us
1999-12-12T01:50:31.000Z,7.602,-80.612,1.3,3.8,md,,,,,us,usp0009jrw,2014-11-07T01:09:09.027Z,"6 km S of La Mesa, Panama",earthquake,,,,,reviewed,upa,upa
1999-12-11T22:03:24.000Z,2.808,-72.993,33,4.1,ml,,,,0.58,us,usp0009jrh,2014-11-07T01:09:08.991Z,"14 km WNW of El Dorado, Colombia",earthquake,,,,,reviewed,us,rsnc
1999-12-06T02:53:06.360Z,4.421,-78.727,33,4.4,mb,,,,1.27,us,usp0009jh1,2014-11-07T01:09:06.832Z,"152 km W of Santa Genoveva de Docordó, Colombia",earthquake,,,,3,reviewed,us,us
1999-12-03T22:12:13.700Z,9.94,-79.568,50.6,4.4,mb,,,,1.09,us,usp0009jes,2014-11-07T01:09:05.627Z,"41 km NNW of Nombre de Dios, Panama",earthquake,,7,,9,reviewed,us,us
1999-12-03T07:28:03.680Z,4.694,-74.663,10,3.9,ml,,,,1.29,us,usp0009je6,2014-11-07T01:09:05.416Z,"5 km ENE of Pulí, Colombia",earthquake,,,,,reviewed,us,rsnc
1999-12-02T12:25:09.610Z,8.71,-70.267,33,4.7,mb,,,,0.79,us,usp0009jd5,2014-11-07T01:09:05.049Z,"11 km NW of Barinas, Venezuela",earthquake,,,,49,reviewed,us,us
1999-11-26T02:21:36.630Z,6.943,-72.798,150,4.1,mb,,,,0.91,us,usp0009j3q,2014-11-07T01:09:00.428Z,"9 km NE of Guaca, Colombia",earthquake,,,,5,reviewed,us,us
1999-11-22T10:41:10.840Z,6.806,-72.909,160.9,4,mb,,,,0.92,us,usp0009hz9,2014-11-07T01:08:59.583Z,"6 km W of San Andrés, Colombia",earthquake,,,,11,reviewed,us,us
1999-11-20T20:29:45.320Z,10.284,-70.344,33,4.7,mb,,,,0.86,us,usp0009hwq,2014-11-07T01:08:59.226Z,"31 km WNW of Carora, Venezuela",earthquake,,,,36,reviewed,us,us
1999-11-15T07:51:44.000Z,5.2,-73,10,3.8,ml,,,,,us,usp0009hp0,2014-11-07T01:08:58.325Z,"8 km ESE of San Eduardo, Colombia",earthquake,,,,,reviewed,rsnc,rsnc
1999-11-13T19:25:46.330Z,7.23,-76.127,84.5,4.2,mb,,,,0.96,us,usp0009hj5,2014-11-07T01:08:57.888Z,"29 km NNE of Dabeiba, Colombia",earthquake,,11.1,,4,reviewed,us,us
1999-11-13T04:02:40.740Z,2.695,-79.71,33,4.3,mb,,,,1,us,usp0009hgx,2014-11-07T01:08:57.784Z,"137 km WNW of Salahonda, Colombia",earthquake,,,,7,reviewed,us,us
1999-11-09T15:31:21.860Z,4.348,-75.728,10,3.7,ml,,,,1.14,us,usp0009han,2014-11-07T01:08:56.315Z,"1 km SE of Buenavista, Colombia",earthquake,,,,,reviewed,us,rsnc
