Global Volcanism Program - Volcanoes of the World 5.0.2,,,,Downloaded on 26 Feb 2023 at 12:19 AM,,,,,,,,,,,,,,,,,,,
Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
221010,"Tair, Jebel at",13921,Confirmed Eruption,,2,,,1863,,0,,0,,Observations: Reported,,,,,,,,15.55,41.83
222100,Longonot,13996,Confirmed Eruption,Northern flank,0,,,1863,5,0,,0,,Correlation: Anthropology,,,,,,,,-0.914,36.446
241080,Tongariro,13552,Confirmed Eruption,Ngauruhoe,2,,,1863,,0,,0,,Observations: Reported,,1864,,4,,0,,-39.157,175.632
343030,Izalco,10789,Confirmed Eruption,,0,,,1863,,0,,0,,Observations: Reported,,,,,,,,13.813,-89.633
352050,Cotopaxi,11570,Confirmed Eruption,,2,,,1863,,0,,0,,Observations: Reported,,,,,,,,-0.677,-78.436
268060,Gamalama,16643,Confirmed Eruption,,2,,,1862,,7,,15,,Observations: Reported,,1862,,10,,0,,0.8,127.33
373030,Bardarbunga,12883,Confirmed Eruption,Trollagigar,2,,,1862,,6,,30,,Observations: Reported,,1864,,10,,15,45,64.633,-17.516
263250,Merapi,15848,Confirmed Eruption,,2,,,1862,,5,,26,,Observations: Reported,,1864,,0,,0,,-7.54,110.446
343100,San Miguel,10845,Confirmed Eruption,,2,,,1862,,1,,0,,Observations: Reported,,,,,,,,13.434,-88.269
241080,Tongariro,13551,Confirmed Eruption,Ngauruhoe,2,,,1862,,1,,0,,Observations: Reported,,,,,,,,-39.157,175.632
271080,Camiguin,16717,Confirmed Eruption,Hibok-Hibok,2,,,1862,,0,,0,,Observations: Reported,,,,,,,,9.203,124.673
273030,Mayon,16777,Confirmed Eruption,,2,,,1862,,0,,0,,Observations: Reported,,,,,,,,13.257,123.685
357110,Llaima,12028,Confirmed Eruption,,3,,,1862,,0,,0,,Observations: Reported,,,,,,,,-38.692,-71.729
354020,Ubinas,11786,Confirmed Eruption,,2,,,1862,,0,,0,,Observations: Reported,,,,,,,,-16.355,-70.903
268070,Kie Besi,16685,Confirmed Eruption,,4,?,,1861,,12,,28,,Observations: Reported,,1862,,10,,0,,0.32,127.4
357070,"Chillan, Nevados de",11971,Confirmed Eruption,NW flank of Cerro Blanco (Santa Gertrudis),2,,,1861,,6,,0,,Observations: Reported,,1863,,0,,0,,-36.868,-71.378
241100,Ruapehu,14612,Confirmed Eruption,,2,,,1861,,5,,16,,Observations: Reported,,,,,,,,-39.28,175.57
221100,Dubbi,13937,Confirmed Eruption,,3,?,,1861,,5,,8,,Observations: Reported,,1861,,10,?,0,,13.579,41.809
264180,Lewotobi,16281,Confirmed Eruption,Lewotobi Lakilaki,2,,,1861,,5,,4,,Observations: Reported,,1861,,5,,18,,-8.542,122.775
261140,Marapi,15426,Confirmed Eruption,,2,?,,1861,,4,,0,,Observations: Reported,,,,,,,,-0.38,100.474
233020,"Fournaise, Piton de la",14284,Confirmed Eruption,Brulant,2,,,1861,,3,,19,,Observations: Reported,,1861,,3,,19,,-21.244,55.708
357080,Antuco,19908,Confirmed Eruption,,0,,,1861,,2,?,0,,Observations: Reported,,1861,,8,?,0,,-37.406,-71.349
357010,Tupungatito,11890,Confirmed Eruption,,2,,,1861,,0,,0,,Observations: Reported,,,,,,,,-33.425,-69.797
382080,Sete Cidades,13022,Confirmed Eruption,Volcano Uncertain: submarine vent off Sao Miguel,0,,,1861,,0,,0,,,,,,,,,,37.865,-25.785
263250,Merapi,15847,Confirmed Eruption,,2,,,1861,,0,,0,,Observations: Reported,,,,,,,,-7.54,110.446
263320,Lamongan,16080,Confirmed Eruption,,2,,,1861,,0,,0,,Observations: Reported,,,,,,,,-7.981,113.341
273030,Mayon,16776,Confirmed Eruption,,1,,,1861,,0,,0,,Observations: Reported,,,,,,,,13.257,123.685
273090,Cagua,16871,Confirmed Eruption,,2,,,1860,,10,,0,,Observations: Reported,,,,,,,,18.222,122.123
264050,Sangeang Api,16238,Confirmed Eruption,,2,,,1860,,9,,11,,Observations: Reported,,1860,,10,,0,,-8.2,119.07
263340,Raung,15920,Confirmed Eruption,,2,,,1860,,9,<,0,,Observations: Reported,,,,,,,,-8.119,114.056
342090,Fuego,10711,Confirmed Eruption,,2,,,1860,,8,,18,,Observations: Reported,,1860,,9,,23,,14.473,-90.88
357070,"Chillan, Nevados de",11970,Confirmed Eruption,W flank of Volcán Viejo (Volcán Renegado),2,?,,1860,,7,,25,,Observations: Reported,,,,,,,,-36.868,-71.378
263310,Tengger Caldera,16033,Confirmed Eruption,Bromo,2,,,1860,,6,,12,,Observations: Reported,,1860,,6,,14,,-7.942,112.95
372030,Katla,12676,Confirmed Eruption,,4,,,1860,,5,,8,,Observations: Reported,,1860,,5,,27,,63.633,-19.083
263300,Semeru,15978,Confirmed Eruption,,2,,,1860,,4,,0,,Observations: Reported,,1860,,6,,0,,-8.108,112.922
263180,Slamet,15735,Confirmed Eruption,,2,,,1860,,3,,19,,Observations: Reported,,1860,,4,,11,,-7.242,109.208
233020,"Fournaise, Piton de la",14283,Confirmed Eruption,Dolomieu and l'Enclos,2,,,1860,,1,,22,,Observations: Reported,,1860,,3,,20,,-21.244,55.708
274030,Babuyan Claro,16881,Confirmed Eruption,Babuyan Claro,2,,,1860,,0,,0,,Observations: Reported,,,,,,,,19.524,121.95
273030,Mayon,16775,Confirmed Eruption,,,,,1860,,0,,0,,Observations: Reported,,,,,,,,13.257,123.685
357040,Planchon-Peteroa,11934,Confirmed Eruption,Peteroa,2,,,1860,,0,,0,,Observations: Reported,,,,,,,,-35.223,-70.568
353050,"Negra, Sierra",11705,Confirmed Eruption,Volcano Uncertain: Isabela Island,2,,,1860,,0,,0,,,,,,,,,,-0.83,-91.17
351060,Purace,11321,Confirmed Eruption,,2,?,,1860,9,0,,0,,Observations: Reported,,,,,,,,2.32,-76.4
352050,Cotopaxi,11569,Confirmed Eruption,,2,,,1860,,0,,0,,Observations: Reported,,1862,,0,,0,,-0.677,-78.436
345040,Poas,11148,Confirmed Eruption,,1,,,1860,,0,,0,,Observations: Reported,,,,,,,,10.2,-84.233
263340,Raung,15919,Confirmed Eruption,,2,,,1859,,12,,14,,Observations: Reported,,,,,,,,-8.119,114.056
343030,Izalco,10788,Confirmed Eruption,,0,,,1859,,12,,8,,Observations: Reported,,1860,,1,,22,,13.813,-89.633
321010,Baker,20458,Confirmed Eruption,Sherman Crater,2,,,1859,,11,,0,,Observations: Reported,,1860,,4,?,26,,48.777,-121.813
353020,Wolf,20897,Confirmed Eruption,,,,,1859,,8,,26,,Observations: Reported,,1859,,8,,29,,0.02,-91.35
344010,Cosiguina,10874,Confirmed Eruption,,,,,1859,,8,,25,,Observations: Reported,,,,,,,,12.98,-87.57
322010,Hood,20573,Confirmed Eruption,,2,,,1859,,8,,15,,Observations: Reported,,1859,,8,,17,,45.374,-121.695
357120,Villarrica,12127,Confirmed Eruption,,2,,,1859,,5,,19,,Observations: Reported,,1860,,4,,12,,-39.42,-71.93
233020,"Fournaise, Piton de la",14282,Confirmed Eruption,,2,,,1859,,5,,8,,Observations: Reported,,1859,,5,>,23,,-21.244,55.708
241080,Tongariro,13550,Confirmed Eruption,SSE flank (Red Crater),1,?,,1859,,4,,21,,Observations: Reported,,,,,,,,-39.157,175.632
263320,Lamongan,16079,Confirmed Eruption,,2,,,1859,,2,,27,,Observations: Reported,,1859,,3,,0,,-7.981,113.341
263310,Tengger Caldera,16032,Confirmed Eruption,Bromo,2,,,1859,,1,,30,,Observations: Reported,,1859,,3,,4,4,-7.942,112.95
332020,Mauna Loa,10194,Confirmed Eruption,North flank (2800 m) and Mokuaweoweo,1,,,1859,,1,,23,,Observations: Reported,,1859,,11,,25,,19.475,-155.608
273030,Mayon,16774,Confirmed Eruption,,,,,1859,,0,,0,,Observations: Reported,,,,,,,,13.257,123.685
265070,Serua,16392,Confirmed Eruption,,2,,,1859,,0,,0,,Observations: Reported,,,,,,,,-6.312,130.017
352050,Cotopaxi,11568,Confirmed Eruption,,2,,,1859,,0,,0,,Observations: Reported,,,,,,,,-0.677,-78.436
344100,Masaya,11019,Confirmed Eruption,"Santiago, San Pedro",2,,,1858,,11,,10,,Observations: Reported,,1859,,3,,27,,11.985,-86.165
233020,"Fournaise, Piton de la",14281,Confirmed Eruption,,2,,,1858,,11,,3,,Observations: Reported,,1859,,1,,0,,-21.244,55.708
352050,Cotopaxi,11567,Confirmed Eruption,,2,,,1858,,11,,0,,Observations: Reported,,1858,,12,,0,,-0.677,-78.436
263310,Tengger Caldera,16031,Confirmed Eruption,Bromo,2,,,1858,,10,,18,,Observations: Reported,,,,,,,,-7.942,112.95
355100,Lascar,11850,Confirmed Eruption,,2,?,,1858,,4,,0,,Observations: Reported,,1858,,12,,0,,-23.37,-67.73
263310,Tengger Caldera,16030,Confirmed Eruption,Bromo,2,,,1858,,3,,4,,Observations: Reported,,,,,,,,-7.942,112.95
271060,Ragang,16710,Confirmed Eruption,,2,,,1858,,2,,18,,Observations: Reported,,,,,,,,7.691,124.507
343030,Izalco,10787,Confirmed Eruption,,2,,,1858,,2,,6,,Observations: Reported,,1859,,7,,0,,13.813,-89.633
273030,Mayon,13615,Confirmed Eruption,,2,,,1858,,1,,0,,Observations: Reported,,1858,,12,,0,,13.257,123.685
265070,Serua,16391,Confirmed Eruption,,2,,,1858,,0,,0,,Observations: Reported,,,,,,,,-6.312,130.017
243070,Lateiki,14760,Confirmed Eruption,,2,,,1858,,0,,0,,Observations: Reported,,,,,,,,-19.18,-174.87
321010,Baker,20457,Confirmed Eruption,Sherman Crater,2,,,1858,,0,,0,,Observations: Reported,,,,,,,,48.777,-121.813
344090,Momotombo,10995,Confirmed Eruption,,2,,,1858,,0,,0,,Observations: Reported,,1866,,0,,0,,12.423,-86.539
343100,San Miguel,10844,Confirmed Eruption,,2,?,,1857,,11,,0,,Observations: Reported,,,,,,,,13.434,-88.269
342090,Fuego,10708,Confirmed Eruption,,2,,,1857,,9,,17,,Observations: Reported,,,,,,,,14.473,-90.88
352080,Tungurahua,11636,Confirmed Eruption,,2,?,,1857,,9,?,10,,Observations: Reported,,,,,,,,-1.467,-78.442
263300,Semeru,15977,Confirmed Eruption,,2,,,1857,,8,,13,,Observations: Reported,,1857,,9,,0,,-8.108,112.922
384010,Fogo,13134,Confirmed Eruption,SSE caldera floor,2,,,1857,,6,,27,,Observations: Reported,,1857,,12,,15,,14.95,-24.35
321050,St. Helens,20554,Confirmed Eruption,,2,,,1857,,4,,0,,Observations: Reported,,,,,,,,46.2,-122.18
343030,Izalco,10786,Confirmed Eruption,,2,,,1857,,2,,15,,Observations: Reported,,1857,,2,>,19,,13.813,-89.633
241080,Tongariro,13549,Confirmed Eruption,Ngauruhoe,2,,,1857,,2,,0,,Observations: Reported,,1857,,3,,0,,-39.157,175.632
342090,Fuego,10707,Confirmed Eruption,,4,?,,1857,,1,,15,,Observations: Reported,,1857,,2,,17,,14.473,-90.88
263310,Tengger Caldera,16029,Confirmed Eruption,Bromo,2,,,1857,,0,,0,,Observations: Reported,,,,,,,,-7.942,112.95
273030,Mayon,13614,Confirmed Eruption,,2,,,1857,,0,,0,,Observations: Reported,,,,,,,,13.257,123.685
274010,Camiguin de Babuyanes,16872,Confirmed Eruption,SW flank,2,,<,1857,,0,,0,,Observations: Reported,,,,,,,,18.83,121.86
352050,Cotopaxi,11566,Confirmed Eruption,,2,,,1857,,0,,0,,Observations: Reported,,,,,,,,-0.677,-78.436
352010,Reventador,11431,Confirmed Eruption,,3,,,1856,,12,,12,,Observations: Reported,,1856,,12,,13,,-0.077,-77.656
344100,Masaya,11017,Confirmed Eruption,Santiago or San Pedro,2,,,1856,,12,,0,,Observations: Reported,,1857,,1,,0,,11.985,-86.165
271060,Ragang,16709,Confirmed Eruption,,2,,,1856,,11,,1,,Observations: Reported,,,,,,,,7.691,124.507
352050,Cotopaxi,11565,Confirmed Eruption,,2,,,1856,,10,,0,,Observations: Reported,,1856,,12,,0,,-0.677,-78.436
274020,Didicas,16874,Confirmed Eruption,,2,,,1856,,9,,30,30,Observations: Reported,,1860,,10,?,0,,19.077,122.202
342090,Fuego,10706,Confirmed Eruption,,2,,,1856,,9,,29,,Observations: Reported,,1856,,9,,30,,14.473,-90.88
263310,Tengger Caldera,16028,Confirmed Eruption,Volcano Uncertain,2,,,1856,,9,,10,,,,,,,,,,-7.942,112.95
263300,Semeru,15976,Confirmed Eruption,,2,,,1856,,9,,10,,Observations: Reported,,,,,,,,-8.108,112.922
267010,Ruang,16480,Confirmed Eruption,,1,,,1856,,9,,0,,Observations: Reported,,,,,,,,2.3,125.37
343030,Izalco,10785,Confirmed Eruption,Summit and south flank,2,,,1856,,5,,24,,Observations: Reported,,1856,,9,,1,1,13.813,-89.633
352050,Cotopaxi,11564,Confirmed Eruption,,2,,,1856,,5,,0,,Observations: Reported,,,,,,,,-0.677,-78.436
261050,"Telong, Bur ni",15398,Confirmed Eruption,,2,,,1856,,4,,14,,Observations: Reported,,,,,,,,4.769,96.821
267040,Awu,16557,Confirmed Eruption,,3,?,,1856,,3,,2,,Observations: Reported,,1856,,3,,17,,3.689,125.447
263320,Lamongan,16078,Confirmed Eruption,,2,,,1856,,3,,1,,Observations: Reported,,1856,,6,,14,,-7.981,113.341
342090,Fuego,10705,Confirmed Eruption,,2,,,1856,,1,,9,,Observations: Reported,,1856,,3,,7,,14.473,-90.88
343100,San Miguel,10843,Confirmed Eruption,SSE flank (800 m),2,,,1855,,12,,0,,Observations: Reported,,,,,,,,13.434,-88.269
352050,Cotopaxi,11563,Confirmed Eruption,,2,,,1855,,11,,0,,Observations: Reported,,,,,,,,-0.677,-78.436
261140,Marapi,15425,Confirmed Eruption,,2,,,1855,,10,,2,,Observations: Reported,,1856,,1,,0,,-0.38,100.474
342090,Fuego,10704,Confirmed Eruption,,2,,,1855,,9,,29,,Observations: Reported,,1855,,9,,30,,14.473,-90.88
332020,Mauna Loa,10193,Confirmed Eruption,NE rift zone (3200 m) and Mokuaweoweo,1,,,1855,,8,,11,,Observations: Reported,,1856,,11,,0,,19.475,-155.608
345070,Turrialba,11243,Confirmed Eruption,,2,,,1855,,5,,0,,Observations: Reported,,,,,,,,10.025,-83.767
273030,Mayon,13613,Confirmed Eruption,,2,,,1855,,3,,22,,Observations: Reported,,,,,,,,13.257,123.685
222130,Chyulu Hills,13830,Confirmed Eruption,Shaitani and Chaimu,2,,,1855,5,0,,0,,Correlation: Anthropology,,,,,,,,-2.68,37.88
213030,Tenduruk Dagi,13532,Confirmed Eruption,,,,,1855,,0,,0,,Observations: Reported,,,,,,,,39.356,43.874
241080,Tongariro,13548,Confirmed Eruption,SSE flank (Red Crater),2,,,1855,,0,,0,,Observations: Reported,,,,,,,,-39.157,175.632
358010,Osorno,12236,Confirmed Eruption,,2,?,,1855,,0,,0,,Observations: Reported,,,,,,,,-41.105,-72.496
352050,Cotopaxi,11562,Confirmed Eruption,,2,,,1854,,9,,14,,Observations: Reported,,,,,,,,-0.677,-78.436
261140,Marapi,15422,Confirmed Eruption,,2,,,1854,,8,>,29,,Observations: Reported,,,,,,,,-0.38,100.474
343030,Izalco,10784,Confirmed Eruption,,2,,,1854,,5,,13,,Observations: Reported,,1854,,6,,8,,13.813,-89.633
264010,Batur,16183,Confirmed Eruption,Batur I,1,?,,1854,,4,,28,,Observations: Reported,,,,,,,,-8.242,115.375
352050,Cotopaxi,11561,Confirmed Eruption,,2,,,1854,,4,,3,,Observations: Reported,,,,,,,,-0.677,-78.436
355110,Llullaillaco,11879,Confirmed Eruption,,2,,,1854,,2,,10,,Observations: Reported,,,,,,,,-24.72,-68.53
344090,Momotombo,10994,Confirmed Eruption,,2,,,1854,,2,,0,,Observations: Reported,,1854,,3,,0,,12.423,-86.539
321050,St. Helens,20553,Confirmed Eruption,North flank,2,,,1854,,2,,0,,Observations: Reported,,1854,,4,,0,,46.2,-122.18
355100,Lascar,11849,Confirmed Eruption,Lascar or Aguas Calientes,1,,,1854,,1,,20,,Observations: Reported,,1854,,1,,30,,-23.37,-67.73
274050,Unnamed,16890,Confirmed Eruption,,0,,,1854,,1,,15,,Observations: Reported,,,,,,,,20.33,121.75
243090,Late,14774,Confirmed Eruption,NE flank,2,,,1854,,0,,0,,Observations: Reported,,,,,,,,-18.806,-174.65
243060,Tofua,14746,Confirmed Eruption,,2,,,1854,,0,,0,,Observations: Reported,,,,,,,,-19.75,-175.07
321010,Baker,20455,Confirmed Eruption,Sherman Crater,2,,,1854,,0,,0,,Observations: Reported,,,,,,,,48.777,-121.813
345020,Rincon de la Vieja,11091,Confirmed Eruption,,2,,,1854,,0,,0,,Observations: Reported,,1863,,8,,0,,10.83,-85.324
373010,Grimsvotn,12815,Confirmed Eruption,,2,,,1854,,0,,0,,Observations: Reported,,,,,,,,64.416,-17.316
261220,Kaba,15539,Confirmed Eruption,,2,,,1853,,11,,0,,Observations: Reported,,,,,,,,-3.522,102.615
357120,Villarrica,12126,Confirmed Eruption,,2,?,,1853,,11,,0,,Observations: Reported,,,,,,,,-39.42,-71.93
281031,Kueishantao,16907,Confirmed Eruption,,2,?,,1853,,10,,29,,Observations: Reported,,1853,,11,?,0,,24.841,121.953
352050,Cotopaxi,11560,Confirmed Eruption,,3,,,1853,,9,,13,,Observations: Reported,,1853,,9,,15,,-0.677,-78.436
273030,Mayon,13612,Confirmed Eruption,,3,,,1853,,7,,13,,Observations: Reported,,1853,,8,,26,,13.257,123.685
243110,Niuafo'ou,14787,Confirmed Eruption,SW caldera rim (Ahau village area),0,,,1853,,6,,24,,Observations: Reported,,1853,,6,?,24,,-15.6,-175.63
342060,Atitlan,10646,Confirmed Eruption,,3,,,1853,,5,,3,,Observations: Reported,,,,,,,,14.583,-91.186
344100,Masaya,11016,Confirmed Eruption,Santiago,1,?,,1853,,4,?,9,,Observations: Reported,,1853,,9,>,15,,11.985,-86.165
321050,St. Helens,20552,Confirmed Eruption,North flank,2,?,,1853,,3,,15,5,Observations: Reported,,1853,,8,?,0,,46.2,-122.18
263060,Gede-Pangrango,15651,Confirmed Eruption,,3,?,,1853,,3,,14,,Observations: Reported,,1853,,3,,14,,-6.786,106.983
357100,Lonquimay,12012,Confirmed Eruption,,3,,,1853,,2,,0,,Observations: Reported,,,,,,,,-38.379,-71.586
261230,Dempo,15551,Confirmed Eruption,,2,,,1853,,1,,1,,Observations: Reported,,,,,,,,-4.016,103.121
345020,Rincon de la Vieja,11090,Confirmed Eruption,,2,,,1853,,0,,0,,Observations: Reported,,,,,,,,10.83,-85.324
345070,Turrialba,11242,Confirmed Eruption,,2,,,1853,,0,,0,,Observations: Reported,,,,,,,,10.025,-83.767
321010,Baker,20454,Confirmed Eruption,Sherman Crater,2,,,1852,,12,,1,30,Observations: Reported,,1853,,1,?,0,,48.777,-121.813
344010,Cosiguina,10873,Confirmed Eruption,,2,?,,1852,,12,,0,,Observations: Reported,,,,,,,,12.98,-87.57
357080,Antuco,19907,Confirmed Eruption,NE flank fissure and summit,3,,,1852,,11,,0,,Observations: Reported,,1853,,1,,0,,-37.406,-71.349
264230,Lewotolok,16332,Confirmed Eruption,K2 crater,2,,,1852,,10,,5,,Observations: Reported,,1852,,10,,6,,-8.274,123.508
344100,Masaya,11015,Confirmed Eruption,Between Masaya and Nindirí Craters,2,,,1852,,6,,0,,Observations: Reported,,1852,,7,,0,,11.985,-86.165
263060,Gede-Pangrango,15650,Confirmed Eruption,,2,,,1852,,5,,28,,Observations: Reported,,1852,,5,,28,,-6.786,106.983
384010,Fogo,13133,Confirmed Eruption,NNW caldera floor,2,,,1852,,2,,19,,Observations: Reported,,1852,,3,?,30,,14.95,-24.35
332020,Mauna Loa,10192,Confirmed Eruption,NE rift zone (2560 m) and Mokuaweoweo,2,,,1852,,2,,17,,Observations: Reported,,1852,,3,?,11,,19.475,-155.608
311320,Akutan,20003,Confirmed Eruption,NW flank (Lava Point),,,,1852,,0,,0,,Observations: Reported,,,,,,,,54.134,-165.986
233020,"Fournaise, Piton de la",14280,Confirmed Eruption,Brulant,0,,,1852,,0,,0,,Observations: Reported,,,,,,,,-21.244,55.708
243080,Home Reef,14768,Confirmed Eruption,,2,,,1852,,0,,0,,Observations: Reported,,,,,,,,-18.992,-174.775
344090,Momotombo,10993,Confirmed Eruption,,2,,,1852,,0,,0,,Observations: Reported,,,,,,,,12.423,-86.539
352050,Cotopaxi,11559,Confirmed Eruption,,2,,,1852,,0,,0,,Observations: Reported,,,,,,,,-0.677,-78.436
357110,Llaima,12027,Confirmed Eruption,,2,,,1852,,0,,0,,Observations: Reported,,1853,,0,,0,,-38.692,-71.729
332020,Mauna Loa,10191,Confirmed Eruption,Mokuaweoweo and SW rift zone,0,,,1851,,8,,8,,Observations: Reported,,1851,,8,,11,1,19.475,-155.608
360120,Pelee,12429,Confirmed Eruption,Upper Rivière Claire valley (900 m elevation),2,,,1851,,8,,5,,Observations: Reported,,1852,,2,,1,30,14.809,-61.166
352050,Cotopaxi,11558,Confirmed Eruption,,2,,,1851,,6,,0,,Observations: Reported,,,,,,,,-0.677,-78.436
273030,Mayon,13611,Confirmed Eruption,,1,,,1851,,5,,26,,Observations: Reported,,1851,,6,,0,,13.257,123.685
263280,Kelud,15948,Confirmed Eruption,,2,,,1851,,1,,24,,Observations: Reported,,,,,,,,-7.935,112.314
263300,Semeru,15975,Confirmed Eruption,,2,,,1851,,1,,0,,Observations: Reported,,,,,,,,-8.108,112.922
243070,Lateiki,14758,Confirmed Eruption,,0,,,1851,,0,,0,,Observations: Reported,,,,,,,,-19.18,-174.87
