Global Volcanism Program - Volcanoes of the World 5.0.2,,,,Downloaded on 26 Feb 2023 at 12:19 AM,,,,,,,,,,,,,,,,,,,
Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
355100,Lascar,22493,Confirmed Eruption,,,,,2022,,12,,10,,Observations: Reported,>,2022,,12,,19,,-23.37,-67.73
332020,Mauna Loa,22492,Confirmed Eruption,,,,,2022,,11,,27,,Observations: Reported,,2022,,12,,10,,19.475,-155.608
284141,Ahyi,22489,Confirmed Eruption,,,,,2022,,11,,18,1,Observations: Reported,>,2022,,12,,19,,20.42,145.03
343100,San Miguel,22491,Confirmed Eruption,,,,,2022,,11,,15,,Observations: Reported,,2022,,11,,29,,13.434,-88.269
352050,Cotopaxi,22486,Confirmed Eruption,Summit crater,2,,,2022,,10,,21,,Observations: Reported,>,2022,,12,,19,,-0.677,-78.436
261170,Kerinci,22479,Confirmed Eruption,,,,,2022,,10,,15,,Observations: Reported,>,2022,,12,,19,,-1.697,101.264
273070,Taal,22481,Confirmed Eruption,,1,,,2022,,10,,5,,Observations: Reported,,2022,,10,,29,,14.002,120.993
233020,"Fournaise, Piton de la",22477,Confirmed Eruption,,,,,2022,,9,,19,,Observations: Reported,,2022,,10,,5,,-21.244,55.708
243080,Home Reef,22478,Confirmed Eruption,,,,,2022,,9,,10,,Observations: Reported,,2022,,10,,17,,-18.992,-174.775
371032,Fagradalsfjall,22459,Confirmed Eruption,,,,,2022,,8,,3,,Observations: Reported,,2022,,8,,21,,63.895,-22.258
345070,Turrialba,22458,Confirmed Eruption,,1,,,2022,,7,,17,,Observations: Reported,,2022,,7,,17,,10.025,-83.767
273030,Mayon,22480,Confirmed Eruption,,,,,2022,,6,,6,,Observations: Reported,,2022,,10,,7,,13.257,123.685
