time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-31T23:09:27.020Z,3.1661,126.5518,35,4.7,mb,,66,2.513,1.39,us,us2000izji,2019-03-05T17:46:42.040Z,"227 km NW of Tobelo, Indonesia",earthquake,7.4,1.9,0.055,102,reviewed,us,us
2018-12-31T19:25:24.300Z,-3.6137,140.496,35,4.6,mb,,101,1.111,1.09,us,us2000izhp,2019-03-05T17:46:42.040Z,"113 km S of Abepura, Indonesia",earthquake,9.2,2,0.078,49,reviewed,us,us
2018-12-31T18:39:16.970Z,-4.7732,145.0163,171.06,4.2,mb,,218,4.852,0.39,us,us2000j5ne,2019-03-05T17:46:41.040Z,"98 km WNW of Madang, Papua New Guinea",earthquake,12.9,26,0.199,7,reviewed,us,us
2018-12-31T16:48:47.250Z,-3.0147,130.1918,41.57,4,mb,,132,2.056,1.02,us,us2000j5n8,2019-03-05T17:46:41.040Z,"145 km ENE of Amahai, Indonesia",earthquake,10.2,10.8,0.183,8,reviewed,us,us
2018-12-31T16:45:36.650Z,6.8343,92.6086,10,4.6,mb,,135,4.6,1.41,us,us2000j5n9,2019-03-05T17:46:41.040Z,"Nicobar Islands, India region",earthquake,5.8,1.9,0.206,12,reviewed,us,us
2018-12-31T16:31:19.660Z,-3.0177,128.6967,35,4.3,mb,,151,3.548,0.82,us,us2000j5n6,2019-03-05T17:46:41.040Z,"43 km NW of Amahai, Indonesia",earthquake,6.7,2,0.306,3,reviewed,us,us
2018-12-31T15:02:22.620Z,-7.0883,104.8131,35,4.5,mb,,159,2.793,1,us,us2000j5n5,2019-03-05T17:46:41.040Z,"137 km SW of Labuan, Indonesia",earthquake,8.5,2,0.204,7,reviewed,us,us
2018-12-31T14:46:31.540Z,-4.6223,137.7403,10,4.6,mb,,63,3.624,0.68,us,us2000j5n2,2019-03-05T17:46:41.040Z,"285 km ESE of Nabire, Indonesia",earthquake,8.6,1.6,0.151,18,reviewed,us,us
2018-12-31T14:20:55.860Z,-7.5302,123.0688,268.33,4.1,mb,,177,1.372,0.66,us,us2000j5n1,2019-03-05T17:46:41.040Z,"153 km NE of Maumere, Indonesia",earthquake,16.4,17.6,0.214,6,reviewed,us,us
2018-12-31T14:05:21.750Z,2.6699,128.5757,230.03,4.4,mb,,81,2.239,0.48,us,us2000izfv,2019-03-05T17:46:41.040Z,"121 km NNE of Tobelo, Indonesia",earthquake,10.4,8,0.097,31,reviewed,us,us
2018-12-31T12:45:35.830Z,-9.1555,107.1262,42.36,4.1,mb,,102,1.96,0.55,us,us2000j5my,2019-03-05T17:46:41.040Z,"219 km S of Banjar, Indonesia",earthquake,6.5,9.9,0.158,12,reviewed,us,us
2018-12-31T06:20:54.860Z,2.2464,127.3735,74.55,4.4,mb,,253,1.464,0.52,us,us2000j5mi,2019-03-05T17:46:40.040Z,"91 km NW of Tobelo, Indonesia",earthquake,12.4,8.5,0.144,14,reviewed,us,us
2018-12-31T02:07:50.570Z,-11.1065,165.1576,10,4.7,mb,,144,5.388,1.01,us,us2000j5m9,2019-03-05T17:46:40.040Z,"81 km WSW of Lata, Solomon Islands",earthquake,7.3,1.9,0.13,19,reviewed,us,us
2018-12-31T00:41:55.400Z,-6.3722,131.9515,10,4.1,mb,,120,1.726,0.95,us,us2000j5m7,2019-03-05T17:46:40.040Z,"120 km SW of Tual, Indonesia",earthquake,5.3,2,0.303,3,reviewed,us,us
2018-12-30T21:51:20.690Z,0.9506,126.1752,35,4.5,mb,,71,1.204,0.85,us,us2000j55x,2019-03-05T17:46:40.040Z,"135 km W of Ternate, Indonesia",earthquake,7.4,2,0.115,22,reviewed,us,us
2018-12-30T18:50:51.990Z,-0.8637,137.7089,10,4.2,mb,,268,3.413,0.63,us,us2000j55u,2019-03-05T17:46:40.040Z,"184 km E of Biak, Indonesia",earthquake,15.5,2,0.235,5,reviewed,us,us
