time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-03-01T18:38:23.170Z,4.222,128.16,79.6,4.9,mb,92,42.2,,0.93,us,usp000jzkm,2014-11-07T01:50:16.200Z,"north of Halmahera, Indonesia",earthquake,,7.3,,57,reviewed,us,us
2013-03-01T17:54:38.710Z,-10.896,165.024,10,5,mb,42,114.6,,0.83,us,usp000jzkj,2014-11-07T01:50:16.189Z,"86 km WSW of Lata, Solomon Islands",earthquake,,,,16,reviewed,us,us
2013-03-01T17:38:43.900Z,3.81,126.785,50,4.5,mb,37,116.7,,1.07,us,usp000jzkg,2014-11-07T01:50:16.174Z,"229 km SE of Sarangani, Philippines",earthquake,,9.4,,18,reviewed,us,us
2013-03-01T17:26:13.910Z,-11.688,164.942,10,5,mb,29,109.8,,1.18,us,usp000jzkf,2014-11-07T01:50:16.167Z,"141 km SW of Lata, Solomon Islands",earthquake,,,,9,reviewed,us,us
2013-03-01T17:00:48.900Z,-5.226,152.545,52.9,4.9,mb,102,47.6,,0.65,us,usp000jzke,2014-11-07T01:50:16.059Z,"102 km SSE of Kokopo, Papua New Guinea",earthquake,,4.6,,64,reviewed,us,us
2013-03-01T14:06:00.700Z,-10.948,164.557,10,4.8,mb,47,120.9,,1.23,us,usp000jzkc,2014-11-07T01:50:16.003Z,"137 km W of Lata, Solomon Islands",earthquake,,,,17,reviewed,us,us
2013-03-01T01:27:28.750Z,-1.485,99.302,35,4.2,mb,21,94.9,,0.73,us,us2013mfbh,2014-11-07T01:50:14.460Z,"131 km WSW of Padang, Indonesia",earthquake,,,,2,reviewed,us,us
2013-02-28T20:40:34.630Z,3.356,128.601,19.5,4.5,mb,13,147.7,,0.31,us,usb000fmni,2014-11-07T01:50:12.716Z,"191 km NNE of Tobelo, Indonesia",earthquake,,46.4,,2,reviewed,us,us
2013-02-28T19:33:28.830Z,-6.101,149.914,58.5,4.4,mb,29,52,,1.06,us,usb000fmnh,2014-11-07T01:50:12.712Z,"42 km ENE of Kandrian, Papua New Guinea",earthquake,,13.4,,5,reviewed,us,us
2013-02-28T05:18:18.610Z,-3.28,146.921,10,4.5,mb,36,56.2,,1.29,us,usp000jzjw,2014-11-07T01:50:12.563Z,"143 km SSW of Lorengau, Papua New Guinea",earthquake,,,,8,reviewed,us,us
2013-02-28T03:11:53.490Z,-4.784,138.523,35,4.6,mb,42,48.6,,0.92,us,usc000fe8t,2014-11-07T01:50:12.555Z,"Papua, Indonesia",earthquake,,,,19,reviewed,us,us
2013-02-28T02:49:40.720Z,-4.954,138.444,56.3,4.4,mb,31,86.9,,1.05,us,usp000jzjt,2014-11-07T01:50:12.491Z,"Papua, Indonesia",earthquake,,13.1,,13,reviewed,us,us
2013-02-27T23:34:23.760Z,-6.63,148.117,30.9,4.4,mb,34,63.7,,0.69,us,us2013mdcp,2014-11-07T01:50:12.466Z,"30 km ESE of Finschhafen, Papua New Guinea",earthquake,,14.6,,6,reviewed,us,us
2013-02-27T18:51:27.810Z,-6.509,129.902,12.7,4.6,mb,21,159,,0.48,us,usb000fik0,2014-11-07T01:50:12.412Z,Banda Sea,earthquake,,8.5,,8,reviewed,us,us
2013-02-27T14:40:55.540Z,-10.732,165.357,10,4.5,mb,15,156.3,,1.26,us,us2013mdcu,2014-11-07T01:50:12.383Z,"48 km W of Lata, Solomon Islands",earthquake,,,,4,reviewed,us,us
2013-02-27T12:13:39.180Z,-6.542,146.844,128.9,4.6,mb,44,79.9,,1,us,usc000fdxc,2014-11-07T01:50:12.371Z,"26 km NW of Lae, Papua New Guinea",earthquake,,8,,16,reviewed,us,us
2013-02-27T12:01:36.640Z,-3.315,146.942,10,4.7,mb,39,72.1,,0.74,us,usc000fdx9,2014-11-07T01:50:12.367Z,"146 km SSW of Lorengau, Papua New Guinea",earthquake,,,,15,reviewed,us,us
2013-02-27T09:55:24.530Z,-6.957,128.232,258.4,4.3,mb,12,50.2,,1.06,us,usc000fdwh,2014-11-07T01:50:12.350Z,"220 km NE of Lospalos, Timor Leste",earthquake,,11.6,,3,reviewed,us,us
2013-02-27T09:44:44.230Z,3.282,128.366,35,4.4,mb,19,125.9,,0.75,us,usp000jzjp,2014-11-07T01:50:12.347Z,"176 km NNE of Tobelo, Indonesia",earthquake,,,,8,reviewed,us,us
2013-02-27T08:21:49.600Z,-3.293,146.935,10,4.5,mb,29,154.7,,1.25,us,usp000jzjm,2014-11-07T01:50:12.334Z,"144 km SSW of Lorengau, Papua New Guinea",earthquake,,,,7,reviewed,us,us
2013-02-27T07:31:43.880Z,-9.723,114.233,32,4.3,mb,40,73.2,,1.17,us,usp000jzjj,2014-11-07T01:50:12.327Z,"143 km S of Muncar, Indonesia",earthquake,,15.9,,7,reviewed,us,us
2013-02-26T14:06:04.610Z,-6.998,107.294,146.2,4.9,mb,193,29.7,,0.91,us,usc000fdjs,2014-11-07T01:50:12.043Z,"20 km SSE of Ciranjang-hilir, Indonesia",earthquake,,3.4,,32,reviewed,us,us
2013-02-26T05:55:07.040Z,4.323,128.156,35,4.5,mb,15,135.9,,0.84,us,usp000jzhw,2014-11-07T01:50:11.947Z,"287 km N of Tobelo, Indonesia",earthquake,,,,1,reviewed,us,us
