time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-03-04T14:09:50.460Z,-34.317,179.131,33,5.9,mwb,,,,1.34,us,usp0009p8q,2022-04-29T18:34:29.133Z,"south of the Kermadec Islands",earthquake,,,,,reviewed,us,us
2000-02-29T03:57:52.900Z,-41.36,172.41,12,3,ml,,,,,us,usp0009p37,2014-11-07T01:09:34.642Z,"53 km W of Wakefield, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-29T01:48:17.700Z,-39.35,173.5,33,4.4,ml,,,,,us,usp0009p34,2014-11-07T01:09:34.638Z,"33 km WNW of Opunake, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-24T13:54:05.600Z,-40.31,176.47,33,4.3,ml,,,,,us,usp0009nws,2014-11-07T01:09:33.450Z,"68 km NNE of Castlepoint, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-24T02:36:53.100Z,-39.39,177.74,33,3.4,ml,,,,,us,usp0009nw1,2014-11-07T01:09:33.378Z,"51 km SE of Wairoa, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-20T04:29:21.800Z,-40.44,176.43,33,3.9,ml,,,,,us,usp0009nqa,2014-11-07T01:09:31.834Z,"54 km NNE of Castlepoint, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-18T06:30:34.000Z,-39.25,173.98,5,4,ml,,,,,us,usp0009nm9,2014-11-07T01:09:31.442Z,"off the west coast of the North Island of New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-17T19:03:18.500Z,-39.18,174.51,12,3.8,ml,,,,,us,usp0009nkd,2014-11-07T01:09:31.342Z,"30 km SE of Waitara, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-17T18:58:24.400Z,-39.18,174.37,5,3.5,ml,,,,,us,usp0009nkc,2014-11-07T01:09:31.340Z,"22 km SSE of Waitara, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-17T15:39:20.600Z,-39.2,174.46,12,3.4,ml,,,,,us,usp0009nk8,2014-11-07T01:09:31.327Z,"28 km NNE of Eltham, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-17T15:36:23.400Z,-39.19,174.44,12,4.1,ml,,,,,us,usp0009nk7,2014-11-07T01:09:31.325Z,"27 km SE of Waitara, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-17T07:10:01.400Z,-38.09,176.67,5,3.4,ml,,,,,us,usp0009nju,2014-11-07T01:09:31.300Z,"2 km WNW of Kawerau, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-17T05:57:30.400Z,-38.09,176.67,5,3.4,ml,,,,,us,usp0009njs,2014-11-07T01:09:31.297Z,"2 km WNW of Kawerau, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-15T14:35:24.600Z,-40.42,177.14,33,3.9,ml,,,,,us,usp0009ngm,2014-11-07T01:09:31.008Z,"90 km SSE of Hastings, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-13T23:29:55.200Z,-39.18,175.42,13,2.8,ml,,,,,us,usp0009ned,2014-11-07T01:09:30.757Z,"39 km NNW of Waiouru, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-12T17:58:38.300Z,-39.07,175.66,5,2.5,ml,,,,,us,usp0009ncx,2014-11-07T01:09:30.535Z,"15 km SW of Turangi, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-12T02:58:08.300Z,-40,175.15,33,4,ml,,,,,us,usp0009nc3,2014-11-07T01:09:30.299Z,"11 km SE of Wanganui, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-12T02:45:17.100Z,-41.42,176.19,33,3.2,ml,,,,,us,usp0009nc2,2014-11-07T01:09:30.298Z,"56 km E of Waipawa, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-12T01:19:23.100Z,-38.66,178.36,24,3.8,ml,,,,,us,usp0009nbz,2014-11-07T01:09:30.288Z,"30 km E of Gisborne, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-11T10:34:05.100Z,-42.08,174.66,27,4.2,ml,,,,,us,usp0009nb3,2014-11-07T01:09:30.188Z,"85 km SE of Blenheim, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-10T11:15:40.700Z,-39.28,173.65,12,3.4,ml,,,,,us,usp0009n9w,2014-11-07T01:09:29.238Z,"26 km NW of Opunake, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-08T14:27:27.000Z,-38.14,179.78,12,4,ml,,,,,us,usp0009n79,2014-11-07T01:09:28.891Z,"165 km ENE of Gisborne, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-08T10:23:19.200Z,-39.99,175.44,5,3.4,ml,,,,,us,usp0009n70,2014-11-07T01:09:28.848Z,"21 km NNE of Bulls, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-07T00:12:52.100Z,-42.45,173.75,33,3.6,ml,,,,,us,usp0009n51,2014-11-07T01:09:28.262Z,"105 km S of Blenheim, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-06T22:29:43.800Z,-40.93,174.95,33,3.6,ml,,,,,us,usp0009n4w,2014-11-07T01:09:27.617Z,"5 km WSW of Paraparaumu, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-06T22:23:20.300Z,-40.93,174.95,33,3.5,ml,,,,,us,usp0009n4v,2014-11-07T01:09:27.581Z,"5 km WSW of Paraparaumu, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-05T06:09:10.500Z,-40.45,176.73,12,2.8,ml,,,,,us,usp0009n2k,2014-11-07T01:09:26.830Z,"66 km NE of Castlepoint, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-02T11:40:13.570Z,-37.12,179.987,131.7,4.7,mb,,,,0.85,us,usp0009mym,2014-11-07T01:09:25.583Z,"243 km NE of Gisborne, New Zealand",earthquake,,15.1,,4,reviewed,us,us
2000-02-02T03:27:18.200Z,-44.38,167.89,12,4.4,ml,,,,,us,usp0009my7,2014-11-07T01:09:25.387Z,"94 km NW of Queenstown, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-02-02T02:29:10.900Z,-39.21,174.92,33,3.4,ml,,,,,us,usp0009my3,2014-11-07T01:09:25.342Z,"58 km ENE of Eltham, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-01-31T15:40:50.800Z,-40.48,177.34,33,3.9,ml,,,,,us,usp0009mwd,2014-11-07T01:09:22.991Z,"102 km SSE of Hastings, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-01-29T03:35:08.800Z,-40.27,178.36,12,4,ml,,,,,us,usp0009mt9,2014-11-07T01:09:22.637Z,"146 km ESE of Hastings, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-01-26T01:48:17.400Z,-40.39,174.53,12,3.6,ml,,,,,us,usp0009mp2,2014-11-07T01:09:21.999Z,"64 km W of Foxton, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-01-21T17:12:10.300Z,-40.89,175.12,29,3.9,ml,,,,,us,usp0009mfp,2014-11-07T01:09:21.231Z,"9 km ENE of Paraparaumu, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-01-21T14:42:54.600Z,-40.13,176.19,33,3.6,ml,,,,,us,usp0009mfg,2014-11-07T01:09:21.217Z,"55 km ENE of Palmerston North, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-01-19T13:12:39.100Z,-42.96,171.13,29,4.1,ml,,,,,us,usp0009mc7,2014-11-07T01:09:20.726Z,"30 km SSE of Hokitika, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-01-15T03:33:53.700Z,-41.47,175.33,21,2.9,ml,,,,,us,usp0009m55,2014-11-07T01:09:19.653Z,"16 km WSW of Waipawa, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-01-12T10:40:08.400Z,-37.95,176.03,5,3.5,ml,,,,,us,usp0009m21,2014-11-07T01:09:19.210Z,"28 km ESE of Matamata, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-01-10T06:00:07.840Z,-33.702,-179.726,33,4.3,mb,,,,1.45,us,usp0009kzk,2014-11-07T01:09:18.921Z,"south of the Kermadec Islands",earthquake,,,,4,reviewed,us,us
2000-01-09T04:33:27.500Z,-39.49,177.38,33,4,ml,,,,,us,usp0009kxy,2014-11-07T01:09:18.701Z,"40 km E of Napier, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-01-05T03:36:46.900Z,-40,175.05,12,3,ml,,,,,us,usp0009krw,2014-11-07T01:09:17.274Z,"7 km S of Wanganui, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-01-02T20:59:18.400Z,-39.09,175.25,12,2.9,ml,,,,,us,usp0009kpb,2014-11-07T01:09:16.706Z,"49 km WSW of Turangi, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-01-02T08:40:07.700Z,-40.05,174.99,12,3.7,ml,,,,,us,usp0009kn2,2014-11-07T01:09:16.085Z,"13 km SSW of Wanganui, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-01-01T09:29:20.200Z,-39.42,177.91,12,3.7,ml,,,,,us,usp0009kkp,2014-11-07T01:09:15.276Z,"63 km SE of Wairoa, New Zealand",earthquake,,,,,reviewed,wel,wel
1999-12-31T13:42:33.600Z,-41.49,174.48,12,2.7,ml,,,,,us,usp0009kj4,2014-11-07T01:09:12.902Z,"31 km SW of Brooklyn, New Zealand",earthquake,,,,,reviewed,wel,wel
1999-12-31T13:35:33.700Z,-43.19,170.82,12,3.9,ml,,,,,us,usp0009kj3,2014-11-07T01:09:12.901Z,"53 km SSW of Hokitika, New Zealand",earthquake,,,,,reviewed,wel,wel
1999-12-30T21:27:29.500Z,-40.93,175.29,26,2.6,ml,,,,,us,usp0009khb,2014-11-07T01:09:12.788Z,"North Island of New Zealand",earthquake,,,,,reviewed,wel,wel
1999-12-29T19:52:35.000Z,-40.15,174.83,12,3,ml,,,,,us,usp0009kf5,2014-11-07T01:09:12.365Z,"Cook Strait, New Zealand",earthquake,,,,,reviewed,wel,wel
1999-12-29T17:50:45.300Z,-40.35,174.43,26,3.5,ml,,,,,us,usp0009key,2014-11-07T01:09:12.333Z,"65 km S of Patea, New Zealand",earthquake,,,,,reviewed,wel,wel
1999-12-29T10:35:00.920Z,-38.676,177.749,33,4.4,mb,,,,1.53,us,usp0009keb,2014-11-07T01:09:12.229Z,"22 km W of Gisborne, New Zealand",earthquake,,,,2,reviewed,us,us
1999-12-27T17:09:07.500Z,-40.66,175.06,12,3.4,ml,,,,,us,usp0009kc5,2014-11-07T01:09:11.903Z,"13 km NW of Otaki, New Zealand",earthquake,,,,,reviewed,wel,wel
1999-12-26T12:29:18.500Z,-43.02,172.62,33,4.2,ml,,,,,us,usp0009kav,2014-11-07T01:09:11.767Z,"17 km NNW of Amberley, New Zealand",earthquake,,,,,reviewed,wel,wel
1999-12-23T04:33:42.300Z,-40.92,175.45,25,3.1,ml,,,,,us,usp0009k69,2014-11-07T01:09:10.917Z,"18 km WNW of Masterton, New Zealand",earthquake,,,,,reviewed,wel,wel
1999-12-21T11:26:44.700Z,-45.53,166.2,20,4.5,mb,,,,,us,usp0009k3k,2014-11-07T01:09:10.518Z,"119 km W of Te Anau, New Zealand",earthquake,,,,6,reviewed,wel,us
1999-12-20T09:24:36.100Z,-39.15,175.04,12,3.4,ml,,,,,us,usp0009k1w,2014-11-07T01:09:10.317Z,"65 km NW of Waiouru, New Zealand",earthquake,,,,,reviewed,wel,wel
1999-12-19T23:26:42.900Z,-40.11,174.81,11,3.1,ml,,,,,us,usp0009k1a,2014-11-07T01:09:10.258Z,"28 km SW of Wanganui, New Zealand",earthquake,,,,,reviewed,wel,wel
1999-12-19T20:59:23.800Z,-38.9,174.61,12,2.9,ml,,,,,us,usp0009k16,2014-11-07T01:09:10.253Z,"34 km ENE of Waitara, New Zealand",earthquake,,,,,reviewed,wel,wel
1999-12-18T11:39:34.300Z,-41.67,174.27,19,3.4,ml,,,,,us,usp0009jzc,2014-11-07T01:09:10.017Z,"Cook Strait, New Zealand",earthquake,,,,,reviewed,wel,wel
1999-12-14T09:42:50.300Z,-40.41,177.27,33,4.1,ml,,,,,us,usp0009jv0,2014-11-07T01:09:09.476Z,"off the east coast of the North Island of New Zealand",earthquake,,,,,reviewed,wel,wel
1999-12-14T06:00:32.400Z,-39.12,173.8,5,3.5,ml,,,,,us,usp0009jus,2014-11-07T01:09:09.436Z,"25 km WSW of New Plymouth, New Zealand",earthquake,,,,,reviewed,wel,wel
1999-12-10T14:48:11.080Z,-46.272,166.183,10,4.1,mb,,,,1.34,us,usp0009jpp,2014-11-07T01:09:08.636Z,"141 km W of Riverton, New Zealand",earthquake,,,,2,reviewed,us,us
1999-12-07T05:41:17.110Z,-37.981,177.443,33,4.7,mb,,,,1.19,us,usp0009jjs,2014-11-07T01:09:07.794Z,"14 km ENE of Opotiki, New Zealand",earthquake,,,,3,reviewed,us,us
1999-12-04T04:22:43.500Z,-39.76,174.87,11,3.4,ml,,,,,us,usp0009jf3,2014-11-07T01:09:05.912Z,"24 km NW of Wanganui, New Zealand",earthquake,,,,,reviewed,wel,wel
1999-12-03T02:17:00.600Z,-39.68,174.49,33,2.8,ml,,,,,us,usp0009jdx,2014-11-07T01:09:05.379Z,"8 km N of Patea, New Zealand",earthquake,,,,,reviewed,wel,wel
1999-11-24T01:35:04.810Z,-41.085,175.932,33,4.5,ml,,,,0.76,us,usp0009j1a,2014-11-07T01:08:59.819Z,"26 km ESE of Masterton, New Zealand",earthquake,,,,,reviewed,us,wel
1999-11-23T06:40:35.600Z,-41.77,172.26,12,3.8,ml,,,,,us,usp0009j0a,2014-11-07T01:08:59.693Z,"54 km E of Westport, New Zealand",earthquake,,,,,reviewed,wel,wel
1999-11-20T05:59:11.350Z,-33.482,-179.382,71.6,4.8,mb,,,,1.39,us,usp0009hvu,2014-11-07T01:08:59.169Z,"south of the Kermadec Islands",earthquake,,18.9,,13,reviewed,us,us
1999-11-14T20:26:40.760Z,-36.777,179.445,33,4.5,ml,,,,1.27,us,usp0009hn3,2014-11-07T01:08:58.155Z,"234 km NE of Opotiki, New Zealand",earthquake,,,,,reviewed,us,wel
1999-11-13T17:00:04.300Z,-36.68,177.41,338,4.1,mb,,,,,us,usp0009hhx,2014-11-07T01:08:57.871Z,"144 km ENE of Tairua, New Zealand",earthquake,,,,2,reviewed,wel,us
1999-11-12T10:37:45.100Z,-34.338,178.992,200,4.2,mb,,,,0.87,us,usp0009heb,2014-11-07T01:08:57.467Z,"south of the Kermadec Islands",earthquake,,,,1,reviewed,us,us
