Volcano Name,Country,Location,Latitude,Longitude,Type
,,,,,
Dacht-I-Navar Group,Afghanistan,Afghanistan,33.95,67.92,Lava dome
Vakak Group,Afghanistan,Afghanistan,34.25,67.97,Volcanic field
Atakor Volcanic Field,Algeria,Africa-N,23.33,5.83,Scoria cones
In Ezzane Volc Field,Algeria,Africa-N,23,10.833,Volcanic field
Manzaz Volcanic Field,Algeria,Africa-N,23.92,5.83,Scoria cones
Tahalra Volcanic Field,Algeria,Africa-N,22.67,5,Pyroclastic cones
Tutuila,American Samoa,Samoa-SW Pacific,-14.295,-170.7,Tuff cone
Andrus,Antarctica,Antarctica,-75.8,-132.33,Shield volcano
Berlin,Antarctica,Antarctica,-76.05,-136,Shield volcano
Bridgeman Island,Antarctica,Antarctica,-62.063,-56.713,Stratovolcano
Bristol Island,Antarctica,Antarctica,-59.017,-26.533,Stratovolcano
Buckle Island,Antarctica,Antarctica,-66.78,163.25,Stratovolcano
Candlemas Island,Antarctica,Antarctica,-57.08,-26.67,Stratovolcano
Deception Island,Antarctica,Antarctica,-63.001,-60.652,Caldera
Erebus,Antarctica,Antarctica,-77.53,167.17,Stratovolcano
Hodson,Antarctica,Antarctica,-56.712,-27.176,Stratovolcano
Hudson Mountains,Antarctica,Antarctica,-74.33,-99.42,Stratovolcano
Leskov Island,Antarctica,Antarctica,-56.656,-28.14,Stratovolcano
Lindenberg Island,Antarctica,Antarctica,-65.03,-60.05,Pyroclastic cone
Melbourne,Antarctica,Antarctica,-74.35,164.7,Stratovolcano
Melville,Antarctica,Antarctica,-62.02,-57.67,Stratovolcano
Montagu Island,Antarctica,Antarctica,-58.445,-26.374,Shield volcano
Morning,Antarctica,Antarctica,-78.5,163.53,Shield volcano
Mount Haddington Volc Field,Antarctica,Antarctica,-64.15,-57.75,Shield
Paulet,Antarctica,Antarctica,-63.579,-55.78,Cinder cone
Penguin Island,Antarctica,Antarctica,-62.1,-57.93,Stratovolcano
Peter I Island,Antarctica,Antarctica,-68.85,-90.58,Shield volcano
"Pleiades, The",Antarctica,Antarctica,-72.67,165.5,Stratovolcano
Protector Seamounts,Antarctica,Antarctica,-55.912,-28.167,Submarine volcano
Royal Society Range,Antarctica,Antarctica,-78.25,163.33,Cinder cone
Saunders,Antarctica,Antarctica,-57.8,-26.483,Stratovolcano
Seal Nunataks Group,Antarctica,Antarctica,-65.03,-60.05,Pyroclastic cone
Siple,Antarctica,Antarctica,-73.43,-126.67,Shield volcano
Southern Thule,Antarctica,Antarctica,-59.442,-27.225,Stratovolcano
Sturge Island,Antarctica,Antarctica,-67.4,164.83,Stratovolcano
Takahe,Antarctica,Antarctica,-76.28,-112.08,Shield volcano
Toney Mountain,Antarctica,Antarctica,-75.8,-115.83,Shield volcano
Unnamed,Antarctica,Antarctica,-73.45,164.58,Scoria cone
Unnamed,Antarctica,Antarctica,-76.83,163,Submarine volcano
Waesche,Antarctica,Antarctica,-77.17,-126.88,Shield volcano
Young Island,Antarctica,Antarctica,-66.42,162.47,Stratovolcano
Zavodovski,Antarctica,Antarctica,-56.3,-27.57,Stratovolcano
Macdonald,Antarctica,Austral Is-C Pacific,-28.98,-140.25,Submarine volcano
Boomerang Seamount,Antarctica,Indian O.-S,-37.721,77.825,Submarine volcano
East Gakkel Ridge at 85°E,Arctic Ocean,Arctic Ocean,85.608,85.25,Submarine volcano
Unnamed,Arctic Ocean,Arctic Ocean,88.27,-65.6,Submarine volcano
Antofagasta Volcanic Field,Argentina,Argentina,-26.12,-67.4,Scoria cones
Apagado,Argentina,Argentina,-41.88,-72.58,Cinder cone
Aracar,Argentina,Argentina,-24.29,-67.783,Stratovolcano
"Atuel, Caldera del",Argentina,Argentina,-34.65,-70.05,Caldera
"Blanca, Laguna",Argentina,Argentina,-39.02,-70.37,Volcanic field
"Blanco, Cerro",Argentina,Argentina,-26.789,-67.765,Caldera
"Condor, El",Argentina,Argentina,-26.632,-68.361,Stratovolcano
Domuyo,Argentina,Argentina,-36.638,-70.432,Stratovolcano
Falso Azufre,Argentina,Argentina,-26.8,-68.37,Scoria cone
Huanquihue Group,Argentina,Argentina,-39.887,-71.58,Pyroclastic cone
"Nevada, Sierra",Argentina,Argentina,-26.48,-68.58,Stratovolcano
Payun Matru,Argentina,Argentina,-36.422,-69.241,Shield volcano
Peinado,Argentina,Argentina,-26.623,-68.116,Stratovolcano
